Iteration	Posterior	Likelihood	Prior	tree_length	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	shape[0]	shape[1]	shape[2]	shape[3]
350	-9555.71	-9573.05	17.3433	1.22018	0.0402375	0.044866	0.0239962	0.0102181	0.832919	0.0111899	0.00819087	0.0354887	0.0769634	0.0403126	0.00653301	0.0563075	0.00680014	0.0183371	0.00781576	0.102197	3.80607	15.5984	9.82387
360	-9559.2	-9573.47	14.2658	1.22284	0.0384068	0.0420616	0.017615	0.00901626	0.876064	0.0111899	0.00783223	0.0319258	0.0705655	0.0301456	0.0121515	0.0443801	0.0071825	0.0167114	0.00758975	0.0731452	10.6035	74.7895	4.88155
370	-9558.94	-9577.06	18.1202	1.20454	0.0452021	0.0399926	0.0329303	0.00720561	0.823173	0.00563363	0.00675376	0.0341104	0.0696035	0.0460725	0.00633944	0.0393732	0.00671069	0.0275928	0.0138432	0.0881038	2.60897	3.19936	11.0236
380	-9558.53	-9576.32	17.784	1.19529	0.0463462	0.0510621	0.0265444	0.011746	0.803104	0.00945957	0.00875474	0.0308623	0.0718329	0.0429373	0.00633944	0.0310669	0.0206288	0.0279358	0.00667079	0.091099	4.43696	6.89004	14.0747
390	-9555.77	-9571.97	16.2009	1.25857	0.0462481	0.0417748	0.0201031	0.0111388	0.875455	0.00910684	0.0099628	0.046947	0.0721523	0.0375107	0.00472651	0.0303752	0.0229197	0.02202	0.00813297	0.104933	5.48574	5.03246	33.8758
400	-9559.25	-9576.08	16.8346	1.13752	0.0408774	0.0408932	0.0236817	0.0140706	0.754084	0.00892425	0.0126508	0.037794	0.0664989	0.0519042	0.00546207	0.0367721	0.0180328	0.0187166	0.00716078	0.0996714	30.0186	13.9819	11.9344
410	-9565.66	-9582.69	17.0309	1.24375	0.0503048	0.0351524	0.0256475	0.00679587	0.842656	0.0100339	0.00783387	0.0511862	0.0792551	0.0455275	0.0095861	0.0330726	0.0217999	0.0177351	0.00716789	0.113723	9.86969	13.0807	7.798
420	-9565	-9582.32	17.3166	1.14445	0.0483159	0.042662	0.0262625	0.0107928	0.732232	0.0129046	0.0143285	0.039166	0.0758013	0.0371045	0.0140555	0.0392922	0.0205824	0.0174579	0.0134874	0.134759	5.50885	9.92864	29.4395
430	-9569.08	-9586.41	17.3326	1.12343	0.0445357	0.0349619	0.0265791	0.00919326	0.766463	0.0156712	0.00504125	0.0369805	0.0624411	0.039809	0.00671896	0.0378562	0.0141132	0.0198564	0.00320662	0.110861	12.4975	14.8997	21.3868
440	-9567.66	-9584.79	17.1287	1.18557	0.0461835	0.037388	0.0190198	0.00705391	0.833977	0.0123982	0.0110802	0.0277797	0.0583048	0.032432	0.0111128	0.0399591	0.0141132	0.0215445	0.0132264	0.0776274	3.7653	14.8139	21.8861
450	-9561.3	-9577.91	16.6138	1.13354	0.0504604	0.0386247	0.022615	0.00700756	0.74154	0.0142563	0.00787718	0.0349801	0.0707156	0.0384969	0.0083845	0.0337442	0.0240078	0.0283532	0.0124775	0.122252	40.2383	14.2223	6.66545
460	-9553.29	-9571.4	18.1094	1.0912	0.0455646	0.0424924	0.0233527	0.0113846	0.72651	0.0127359	0.00886892	0.0344417	0.0642372	0.0336579	0.00299035	0.0405922	0.015846	0.014561	0.0139639	0.0982636	12.4207	14.2223	13.0622
470	-9555.46	-9572.97	17.5156	1.1374	0.0416783	0.0490741	0.0197971	0.00949278	0.767088	0.0076969	0.011646	0.0427312	0.0653936	0.0377747	0.00704397	0.0258371	0.0205519	0.0157413	0.0158532	0.119066	24.1209	6.81104	11.3883
480	-9558.72	-9576.85	18.1234	1.11122	0.0511313	0.0415615	0.0198155	0.0122167	0.754183	0.00775516	0.00997159	0.0286693	0.0619829	0.0402146	0.00853033	0.0214076	0.0249031	0.0174974	0.0113846	0.11771	21.4044	4.61215	9.38468
490	-9563.17	-9578.61	15.4406	1.14436	0.038819	0.0394907	0.0200133	0.00866189	0.797296	0.00902554	0.011414	0.0304039	0.0539042	0.0402146	0.00909562	0.0329582	0.0249031	0.0226438	0.00552082	0.0933721	6.93851	23.7496	51.766
500	-9563.02	-9580.25	17.2269	1.11881	0.0494233	0.0434149	0.0227155	0.0131235	0.733513	0.0110823	0.0174568	0.0422425	0.0626358	0.0326929	0.00534902	0.020448	0.0325537	0.0190293	0.0131327	0.111726	20.9672	5.87282	24.9797
510	-9556.66	-9572.95	16.2813	1.18738	0.05966	0.0410619	0.0285833	0.00848251	0.797757	0.00901271	0.0106357	0.0417674	0.0641078	0.0439752	0.0047644	0.0231191	0.0300628	0.0173892	0.00699836	0.104884	8.1875	10.6442	38.1934
520	-9561.19	-9578.55	17.3644	1.17871	0.048809	0.0386384	0.0190101	0.0187473	0.823152	0.0075785	0.00902173	0.0338491	0.0662147	0.0353523	0.00630361	0.0320717	0.00970938	0.0220485	0.00820338	0.0850528	13.2275	7.6479	16.2424
530	-9560.98	-9577.55	16.5728	1.15893	0.0457793	0.0320423	0.0230643	0.00725459	0.793394	0.0136063	0.00738103	0.0338491	0.0643319	0.0371584	0.00742179	0.0487881	0.0102852	0.0219325	0.0126391	0.116459	20.2994	7.91354	28.6608
540	-9557.23	-9573.04	15.8112	1.14636	0.0432067	0.0384079	0.0236012	0.0132436	0.758697	0.0148821	0.00946965	0.0347446	0.0621838	0.045716	0.00742179	0.0468177	0.0142272	0.0205715	0.0131652	0.0998078	3.9746	39.9922	30.6703
550	-9555.57	-9572.87	17.3045	1.1555	0.043015	0.0399858	0.0282133	0.0108264	0.792723	0.00832529	0.00691105	0.0378078	0.0563452	0.0407282	0.00718332	0.0403226	0.0144738	0.0211782	0.00745931	0.113445	15.2817	4.5703	23.0772
560	-9564.08	-9578.77	14.6877	1.11282	0.0459493	0.0370185	0.0236752	0.0112259	0.74297	0.00711745	0.0105276	0.039929	0.0715547	0.0337333	0.00789032	0.0396713	0.00782377	0.0181595	0.0155741	0.125215	36.6273	5.13318	62.0274
570	-9558.99	-9577.61	18.6227	1.14352	0.0376845	0.0387664	0.027498	0.0112259	0.765784	0.00940896	0.00857024	0.0494688	0.0659367	0.048846	0.00775782	0.0384663	0.00486403	0.019258	0.00998717	0.107085	3.87228	4.41642	10.6785
580	-9558.77	-9575.71	16.9364	1.29766	0.0402724	0.0395392	0.0189849	0.0144097	0.920026	0.0139564	0.00857024	0.0359446	0.078012	0.0399936	0.00143343	0.0331367	0.0261254	0.0145348	0.0127256	0.0907532	4.08536	12.506	5.28812
590	-9554.39	-9571.92	17.5343	1.15871	0.0444913	0.0399555	0.0182207	0.0122536	0.794626	0.0110953	0.00716191	0.0391568	0.0554687	0.0412048	0.0125722	0.0363784	0.0170478	0.0205718	0.00850092	0.10921	4.03544	24.682	8.97868
600	-9560.48	-9578.27	17.789	1.03782	0.0408149	0.039328	0.0214954	0.0109666	0.680856	0.0102368	0.00908165	0.0350815	0.0746266	0.0339492	0.00592577	0.0335387	0.0174764	0.0143751	0.0100632	0.101932	4.41691	29.2967	23.0736
610	-9563.07	-9578.96	15.8879	1.16852	0.052402	0.043567	0.0218205	0.00991381	0.781237	0.0103959	0.0109364	0.0326507	0.0711103	0.0411055	0.00884432	0.024494	0.0267346	0.0232744	0.0100357	0.11553	30.0952	35.1832	3.37561
620	-9550.21	-9568.2	17.9933	1.13939	0.057908	0.0359133	0.0234908	0.0120845	0.748818	0.00880491	0.0121287	0.0412965	0.071749	0.036042	0.00899599	0.0323623	0.0156408	0.0240323	0.010122	0.0890494	7.89536	10.641	13.8622
630	-9556.42	-9573.5	17.0744	1.30501	0.0506539	0.0387424	0.019994	0.0114945	0.912592	0.0125709	0.013039	0.0397196	0.0682977	0.0459616	0.00844641	0.0521604	0.00918663	0.01855	0.00360016	0.102987	5.88944	7.48526	4.26392
640	-9568.42	-9577.99	9.56496	1.26115	0.0584307	0.0392144	0.0254369	0.0108343	0.862216	0.0106886	0.0122775	0.0414152	0.0684586	0.0381376	0.00957424	0.0394536	0.0138799	0.0242924	0.006841	0.0944805	52.98	4.35932	119.269
650	-9566.28	-9581.66	15.3826	1.14366	0.0620454	0.0408381	0.0238654	0.00800676	0.741778	0.00982498	0.0149435	0.0408954	0.0632757	0.038263	0.00852748	0.0473005	0.0156621	0.0184314	0.0100053	0.0912502	58.6689	10.4027	14.6856
660	-9555.03	-9572.38	17.3456	1.1909	0.0439085	0.036158	0.0250257	0.0125115	0.799298	0.0113947	0.0128885	0.0366158	0.0766094	0.0411307	0.0115047	0.038504	0.0154897	0.0184314	0.0114273	0.120525	7.37972	8.00457	19.6356
