Iteration	Posterior	Likelihood	Prior	sf[0]	sf[1]	sf[2]	sf[3]	er[0]	er[1]	er[2]	er[3]	er[4]	er[5]	gamma_rates[0]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	shape	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	tree_length
370	-9884.43	-9895.82	11.3929	0.288538	0.193595	0.228044	0.289823	0.124792	0.251759	0.047586	0.0595907	0.44211	0.0741621	0.0614296	0.333742	0.900389	2.70444	0.639908	0.0621873	0.0175746	0.53253	0.0445487	0.0144016	0.0282966	0.00822111	0.00771754	0.0513405	0.0399962	0.00478542	0.0149232	0.0417546	0.00870764	0.0066319	0.883617
380	-9885.51	-9896.76	11.2514	0.285635	0.18349	0.226266	0.304609	0.130062	0.258125	0.0422877	0.0600944	0.427788	0.0816437	0.0411675	0.27769	0.847797	2.83334	0.540753	0.0570129	0.0175746	0.55266	0.0397898	0.00934151	0.0326545	0.0112695	0.00771754	0.0414648	0.0470441	0.00623718	0.0156383	0.035815	0.0128804	0.0111571	0.898257
390	-9883.54	-9895.55	12.0039	0.283816	0.193879	0.239076	0.283229	0.100922	0.285209	0.0507286	0.0602368	0.408526	0.0943781	0.0818505	0.379953	0.937453	2.60074	0.735822	0.062759	0.019102	0.488926	0.0340791	0.00893414	0.0381019	0.00652336	0.00795473	0.040321	0.0347698	0.00885654	0.0172506	0.034086	0.0131928	0.00718145	0.822038
400	-9881.96	-9893.67	11.7074	0.277414	0.197404	0.229538	0.295645	0.100945	0.285274	0.059273	0.0602507	0.40862	0.0856373	0.0882321	0.392929	0.946964	2.57187	0.765653	0.0608506	0.0213963	0.494818	0.0459081	0.0122176	0.0334567	0.00939884	0.00981753	0.0464119	0.0355574	0.00572345	0.0163493	0.0386161	0.0137685	0.00724934	0.85154
410	-9885.23	-9896.83	11.5946	0.291852	0.190914	0.231309	0.285925	0.0996769	0.260974	0.0609689	0.0593871	0.432002	0.0869914	0.074977	0.365267	0.926229	2.63353	0.703692	0.0631526	0.0279966	0.522688	0.0427945	0.00990895	0.030058	0.00843712	0.0108321	0.0351948	0.0281941	0.0081593	0.0155711	0.0375288	0.0125188	0.0100925	0.863127
420	-9887.35	-9899.39	12.0358	0.269514	0.192053	0.232688	0.305745	0.116951	0.283634	0.0611037	0.0521405	0.409794	0.0763765	0.0949349	0.405951	0.956139	2.54297	0.797069	0.0539018	0.0177351	0.47526	0.0314788	0.0123835	0.0309441	0.00737775	0.00936021	0.054412	0.0403104	0.00877323	0.0147837	0.036168	0.0140112	0.0116434	0.818543
430	-9886.2	-9898.44	12.2458	0.279415	0.190613	0.231356	0.298616	0.118424	0.29086	0.054192	0.0626519	0.393674	0.0801984	0.0729448	0.360769	0.922691	2.64359	0.694176	0.0609752	0.0213408	0.453274	0.0313054	0.0106445	0.0388794	0.00786062	0.0123293	0.0394753	0.0370834	0.00877323	0.0148861	0.032991	0.0198261	0.00840601	0.79805
440	-9882.05	-9892.81	10.7617	0.278576	0.188633	0.232586	0.300205	0.11166	0.267392	0.051097	0.0590737	0.430682	0.0800949	0.0486577	0.299971	0.86981	2.78156	0.578261	0.0665282	0.025531	0.58428	0.0396812	0.0122588	0.0345313	0.00728597	0.00650191	0.0419506	0.0428371	0.00688024	0.0180314	0.0399774	0.0123623	0.00840601	0.947044
450	-9891.37	-9902.94	11.5715	0.277235	0.187725	0.229223	0.305817	0.132766	0.276993	0.0524779	0.0606703	0.410724	0.0663686	0.0704028	0.355036	0.918111	2.65645	0.682256	0.0567497	0.0269642	0.518512	0.0314268	0.0136186	0.0324379	0.0103768	0.00896076	0.0402529	0.0318404	0.00688024	0.0341912	0.0298697	0.0177368	0.00572955	0.865548
460	-9890.28	-9902.32	12.049	0.274548	0.188423	0.230076	0.306954	0.134383	0.277273	0.0597554	0.0501917	0.421992	0.0564052	0.0916153	0.399576	0.951692	2.55712	0.781495	0.0562806	0.020631	0.479311	0.0377447	0.0110371	0.0235309	0.00738973	0.00896076	0.0426865	0.0425231	0.00688024	0.0140177	0.0395046	0.0141772	0.0126176	0.817293
