Iteration	Posterior	Likelihood	Prior	tree_length	shape[0]	shape[1]	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]
350	-9635.53	-9646.33	10.7993	1.2902	0.10657	2.75789	0.0633559	0.0343059	0.0350852	0.0078577	0.00856418	0.9185	0.023823	0.0481133	0.0138045	0.0140288	0.0388792	0.016617	0.0126014	0.0407653	0.0139038
360	-9644.39	-9656.36	11.9689	1.17116	0.12019	3.16272	0.0727545	0.0451717	0.0360036	0.0106943	0.0088485	0.780738	0.023823	0.0532516	0.0158935	0.0155112	0.0354177	0.0211157	0.00758688	0.0339973	0.0103484
370	-9642.44	-9653.97	11.5317	1.18456	0.104929	9.23884	0.0740051	0.0446597	0.0399117	0.00870262	0.00982941	0.761475	0.0247584	0.0643788	0.0176735	0.0218348	0.0290559	0.0315766	0.00853142	0.0382493	0.00992275
380	-9638.61	-9650.21	11.596	1.18836	0.0778441	7.22242	0.0632404	0.0361684	0.0365281	0.00903054	0.0140363	0.820738	0.0237012	0.046056	0.00910451	0.0213872	0.030372	0.0220053	0.00580343	0.0403666	0.00981974
390	-9637.01	-9648.94	11.9277	1.17209	0.103289	3.81601	0.0642189	0.0434948	0.0310409	0.00903054	0.00711363	0.792932	0.0259976	0.0456637	0.0134116	0.0183046	0.0414961	0.0137468	0.0100968	0.0506279	0.0049118
400	-9631.76	-9643.44	11.6831	1.19489	0.114408	4.13719	0.0639988	0.0395891	0.0422511	0.00903054	0.0109357	0.817118	0.0220823	0.0534265	0.0127073	0.0133106	0.0421723	0.0126958	0.00973724	0.0376458	0.00818704
410	-9649.06	-9659.53	10.4713	1.31605	0.0997242	4.15546	0.0809833	0.0295416	0.0366705	0.00629214	0.0127606	0.93476	0.025638	0.0360695	0.00843656	0.0267555	0.0429743	0.0165158	0.0058296	0.0397583	0.0130623
420	-9635.82	-9646.76	10.935	1.26862	0.0827818	4.38341	0.0681862	0.0383103	0.0397106	0.00520459	0.00799073	0.892428	0.02917	0.056064	0.00875371	0.0207085	0.0415558	0.00575438	0.0106103	0.0372842	0.00688978
430	-9642.25	-9653.16	10.9093	1.27016	0.115567	4.55796	0.0741414	0.037488	0.0399524	0.0114382	0.0111603	0.885223	0.0301863	0.0422643	0.0101762	0.0214631	0.0457403	0.00203035	0.0080563	0.0396079	0.0112313
440	-9645.03	-9656.17	11.136	1.24163	0.117257	5.72768	0.0644991	0.042139	0.0483623	0.0157058	0.00981812	0.827819	0.0225236	0.0516253	0.0147446	0.0212452	0.0484676	0.00559659	0.0080563	0.0526233	0.0084018
450	-9645.91	-9657.95	12.0395	1.13576	0.127943	8.82022	0.066193	0.0344506	0.0410905	0.0153959	0.00785442	0.763152	0.0230913	0.0510011	0.00885969	0.0165296	0.0336397	0.0153927	0.0142512	0.0411473	0.00371415
460	-9639.14	-9651.24	12.1064	1.13659	0.089674	7.35442	0.0653538	0.0305725	0.0363634	0.00981503	0.0126705	0.779219	0.0256398	0.0394824	0.00772898	0.0173228	0.0334679	0.0153927	0.01129	0.0470542	0.00521758
470	-9642.42	-9654.01	11.5882	1.16657	0.101494	11.7128	0.0638446	0.0398295	0.042096	0.00633185	0.0106216	0.778558	0.0331299	0.0527756	0.0153074	0.0173228	0.0226383	0.0216742	0.0107882	0.0429046	0.00874641
480	-9639.35	-9652.61	13.2634	1.03572	0.0967305	4.38133	0.0580756	0.0314839	0.0345908	0.00514279	0.00826294	0.707139	0.0235005	0.0392784	0.0106615	0.0169361	0.0282616	0.0191092	0.00819543	0.0393968	0.00568904
490	-9637.15	-9649.35	12.192	1.12443	0.119779	8.04475	0.0638257	0.0387914	0.0369172	0.00855845	0.0143725	0.73148	0.0303051	0.0512323	0.0107349	0.0234974	0.0363107	0.0191092	0.0124962	0.0369436	0.00985872
500	-9637.14	-9648.81	11.6715	1.19214	0.108825	4.92492	0.076578	0.0307737	0.0421715	0.00907405	0.00994418	0.794981	0.0296409	0.0484469	0.0117548	0.0234974	0.0363131	0.0156687	0.00954884	0.0405641	0.0131833
510	-9644.79	-9655.76	10.9676	1.27394	0.0994953	2.65215	0.0696005	0.0272034	0.0366452	0.0132358	0.011483	0.881167	0.0254112	0.0586828	0.0069422	0.0224672	0.0516415	0.00511318	0.00596005	0.0530311	0.00535372
520	-9640.75	-9652.24	11.4868	1.2148	0.115603	4.07947	0.0662981	0.0343989	0.0423834	0.0119524	0.0156119	0.812296	0.0254112	0.0451169	0.0167665	0.0209639	0.0503996	0.0103346	0.00888841	0.0460044	0.0079756
530	-9640.9	-9653.37	12.4736	1.11446	0.104593	4.42167	0.0584395	0.0308877	0.0321301	0.00969968	0.00943602	0.758924	0.0260067	0.0470772	0.00908446	0.0129604	0.0503996	0.00430966	0.00833646	0.0491952	0.00757747
540	-9641.16	-9653.47	12.3102	1.10753	0.120976	9.05932	0.0653391	0.0286302	0.0308033	0.00612316	0.0109272	0.754217	0.0243343	0.0467303	0.00976902	0.0220397	0.0478602	0.00135895	0.0135735	0.0348529	0.0109734
550	-9649.17	-9659.34	10.1635	1.1489	0.107985	43.7336	0.0593907	0.033486	0.0339684	0.0099087	0.00596568	0.7817	0.0265738	0.0477289	0.0118631	0.0283815	0.0564242	0.00126094	0.0114341	0.0347816	0.00602956
