Iteration	Posterior	Likelihood	Prior	ucln_sigma	turnover	diversification	birth_rate	death_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	ucln_mean	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	mean_rt	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	sf[1]	sf[2]	sf[3]	sf[4]
220	-2770.64	-2743.09	-27.5518	1.14865	0.408778	0.023112	0.0390919	0.0159799	46.1625	18.5825	41.4687	0.00571952	0.124246	0.509462	0.0375368	0.193763	0.0988061	0.0684645	0.0499349	0.0902234	0.0406237	0.0909755	0.406779	0.479701	0.0616454	0.0207049	0.494002	0.0196963	0.380894	0.0641799	0.0246007	0.174	0.0607002	0.346447	0.107024	0.059365	0.361804	0.0646606	0.185442	0.329387	0.311313	0.173858
230	-2757.64	-2744	-13.6422	0.678233	0.379224	0.0287747	0.0463527	0.0175781	46.3061	21.4528	34.3337	0.0053432	0.114283	0.0947606	0.0775809	0.16738	0.149156	0.0642771	0.132926	0.060174	0.088416	0.122248	0.289657	0.0525859	0.0563212	0.041993	0.0926839	0.0361456	0.0701052	0.144077	0.427292	0.120432	0.0380456	0.374958	0.101938	0.0835614	0.365545	0.0359518	0.181324	0.327226	0.321681	0.169769
240	-2750.36	-2737.91	-12.4458	0.727776	0.703353	0.0252351	0.0850676	0.0598326	49.6197	19.1045	42.5886	0.00569427	0.108614	0.0969927	0.0635057	0.0801814	0.0371426	0.0417374	0.0411949	0.152551	0.111726	0.0982366	0.304012	0.0148324	0.0231595	0.140324	0.120465	0.03286	0.0777596	0.102672	0.0973315	0.0909268	0.057655	0.372665	0.0962374	0.0788881	0.345101	0.0494534	0.172396	0.351701	0.305842	0.170061
250	-2755.94	-2736.66	-19.2802	0.852505	0.152087	0.0514586	0.0606885	0.00922994	49.0927	19.9015	34.5834	0.00499746	0.0978939	0.0203291	0.045574	0.219903	0.0151846	0.129432	0.0279099	0.12245	0.101944	0.193754	0.300129	0.0929173	0.0649242	0.0458941	0.0288408	0.0828825	0.038479	0.2382	0.337873	0.117034	0.0443901	0.418092	0.0751462	0.0908508	0.324126	0.0473952	0.170067	0.329257	0.330097	0.17058
260	-2755.03	-2738.88	-16.1563	0.461805	0.745615	0.0555925	0.218537	0.162945	50.7701	17.5219	36.5579	0.00599672	0.144682	0.114696	0.0606567	0.118043	0.0506503	0.184973	0.0504633	0.134297	0.074019	0.114576	0.27517	0.0838218	0.085832	0.0998531	0.0870983	0.0629601	0.174604	0.103721	0.0617319	0.10762	0.0440232	0.40398	0.0958808	0.0563927	0.366764	0.0329587	0.176323	0.340918	0.313518	0.169241
270	-2753.64	-2737.54	-16.0976	0.623902	0.509212	0.052332	0.106628	0.0542965	55.53	20.3772	39.0182	0.00534713	0.113591	0.0674734	0.0215692	0.0551323	0.124872	0.17125	0.0233648	0.126216	0.0891444	0.100498	0.3112	0.0493456	0.0879177	0.0555726	0.0840714	0.0732133	0.024586	0.213884	0.051053	0.0961314	0.0653212	0.387347	0.0854986	0.0736535	0.32705	0.0611292	0.19138	0.321	0.323604	0.164016
280	-2752.63	-2737.02	-15.6087	0.752617	0.522491	0.0809715	0.169571	0.0885991	46.9902	21.3829	33.9896	0.00545946	0.143768	0.0733997	0.0693793	0.167632	0.0927909	0.13584	0.0254209	0.121725	0.0788532	0.163586	0.292049	0.114893	0.0924259	0.0363338	0.10238	0.0619651	0.0850118	0.220939	0.0541499	0.110488	0.0541177	0.369142	0.0625931	0.0653636	0.38862	0.0601641	0.177223	0.314166	0.344401	0.16421
290	-2753.2	-2737.9	-15.2982	0.720677	0.665834	0.0387022	0.115817	0.0771151	45.218	19.756	41.6515	0.00553306	0.124893	0.167966	0.0239751	0.0545964	0.141526	0.1016	0.0612915	0.136896	0.0528883	0.0972602	0.326775	0.0488966	0.116105	0.232837	0.305151	0.0619555	0.040432	0.129489	0.0806562	0.121128	0.0439859	0.347461	0.0589167	0.0739691	0.419037	0.0566304	0.189944	0.329342	0.33205	0.148664
300	-2756.41	-2739.61	-16.7932	0.831353	0.42895	0.0300921	0.052696	0.0226039	46.0674	22.1805	35.9054	0.00536262	0.1465	0.0405166	0.0231143	0.119267	0.142258	0.0358636	0.0191927	0.163381	0.0555054	0.122312	0.364306	0.0790458	0.237768	0.130126	0.103383	0.0567036	0.0712786	0.21516	0.194382	0.120754	0.0517238	0.347819	0.0268526	0.0603979	0.41802	0.0951867	0.193067	0.304165	0.337283	0.165486
310	-2752.96	-2737.04	-15.9196	0.526146	0.285876	0.0449228	0.0629061	0.0179834	52.1072	19.2305	35.6285	0.00545795	0.173591	0.10634	0.107664	0.229861	0.0872701	0.212964	0.0324761	0.149179	0.100571	0.146154	0.218433	0.0712477	0.0977449	0.113181	0.119936	0.171681	0.103125	0.250366	0.281978	0.144454	0.0549717	0.350354	0.0596158	0.0641903	0.444268	0.0266001	0.170614	0.332307	0.33507	0.162009
320	-2766.53	-2745.78	-20.7424	0.505613	0.442166	0.0613367	0.109955	0.0486185	46.9279	21.5577	40.8386	0.00498191	0.152429	0.446425	0.0430723	0.156703	0.0626252	0.0998391	0.116958	0.106142	0.112552	0.093343	0.414436	0.171659	0.0744967	0.400252	0.10668	0.0917106	0.148077	0.0884181	0.201695	0.16306	0.0556261	0.357178	0.0850709	0.0662203	0.373584	0.0623203	0.182544	0.350483	0.293635	0.173338
330	-2754.53	-2741.67	-12.8557	0.426735	0.431651	0.0537335	0.0945432	0.0408097	51.2542	19.0987	40.541	0.00520161	0.122222	0.164126	0.0423096	0.0752159	0.186453	0.0743068	0.0519255	0.113027	0.118613	0.106459	0.308469	0.0828348	0.235118	0.146907	0.140121	0.09306	0.136376	0.111525	0.148997	0.129769	0.0429061	0.330658	0.0620862	0.0646645	0.438829	0.0608562	0.182739	0.329253	0.333911	0.154097
340	-2754.48	-2735.59	-18.882	0.65924	0.493635	0.0276763	0.0546567	0.0269805	57.2541	21.2277	39.0942	0.00536952	0.106872	0.0960542	0.0705933	0.0961307	0.031254	0.109024	0.0726905	0.157935	0.0748482	0.116002	0.276014	0.0522929	0.0410458	0.638016	0.116635	0.0546801	0.0344259	0.16438	0.0341293	0.124231	0.0487671	0.324063	0.0570142	0.0734977	0.41929	0.0773685	0.180399	0.324861	0.325108	0.169632
350	-2750.33	-2736.84	-13.4945	0.405169	0.702504	0.045794	0.153931	0.108137	58.2306	24.1276	45.2496	0.00534656	0.10131	0.104012	0.0973012	0.150447	0.0993098	0.215192	0.0603081	0.0858412	0.0465045	0.110817	0.289049	0.104921	0.0656277	0.0982183	0.139748	0.0574548	0.0991173	0.129019	0.0817835	0.113037	0.0551546	0.341898	0.0490467	0.0831245	0.40061	0.0701667	0.171673	0.353762	0.310323	0.164241
360	-2747.15	-2736.05	-11.0994	0.579306	0.406421	0.0400695	0.0675049	0.0274354	54.2125	20.3905	42.8338	0.00556431	0.131204	0.0593754	0.12689	0.0545959	0.0616667	0.201337	0.0413714	0.096759	0.0765646	0.103557	0.272232	0.122601	0.0684174	0.0704099	0.084718	0.0660778	0.0884856	0.102492	0.175293	0.104047	0.0589364	0.360889	0.0435591	0.0801176	0.403777	0.0527204	0.172887	0.344123	0.329155	0.153836
370	-2745.84	-2738.37	-7.46797	0.289326	0.152782	0.0498596	0.058851	0.00899136	52.3424	17.4299	39.8735	0.00528467	0.107907	0.0607163	0.0573172	0.0937204	0.110831	0.10895	0.0609873	0.0986981	0.094028	0.094902	0.300161	0.158409	0.0936861	0.120783	0.0986718	0.0594367	0.0934533	0.117821	0.0666394	0.104956	0.0402509	0.379706	0.0433956	0.127086	0.338015	0.0715471	0.189996	0.318443	0.318445	0.173116
380	-2763.98	-2736.81	-27.1744	1.17214	0.196657	0.0357289	0.0444753	0.00874639	45.6764	21.0004	37.2467	0.00535453	0.146456	0.0842681	0.54924	0.332705	0.0762457	0.125041	0.0294463	0.0914867	0.0774754	0.138893	0.350564	0.0185066	0.326753	0.0308104	0.134321	0.0213274	0.135588	0.230121	0.220764	0.165198	0.0373863	0.417542	0.0350508	0.102648	0.349584	0.0577888	0.184687	0.333987	0.319572	0.161754
390	-2758.92	-2740.79	-18.1301	1.07212	0.353399	0.0373007	0.0576873	0.0203866	47.9786	18.5879	40.883	0.00567325	0.172275	0.147568	0.00681241	0.216099	0.0607455	0.0396461	0.0312804	0.105899	0.0744255	0.0845043	0.326113	0.0990425	0.0446969	0.0306537	0.069476	0.181718	0.141965	0.146593	0.0153269	0.101254	0.0278194	0.386905	0.0466045	0.0690351	0.426635	0.0430012	0.185857	0.336103	0.317725	0.160314
400	-2746.95	-2737.13	-9.82323	0.786686	0.183905	0.0533298	0.0653476	0.0120177	48.3797	20.0517	48.1224	0.0054568	0.0850098	0.0575337	0.00869139	0.0804627	0.05167	0.0753028	0.0200532	0.038582	0.0950759	0.104864	0.325752	0.0750704	0.0313688	0.053834	0.041524	0.0845744	0.131244	0.0646341	0.0213472	0.0756436	0.0536975	0.398421	0.0507753	0.0752133	0.375043	0.0468495	0.185271	0.325343	0.324654	0.164732
410	-2769.38	-2745.35	-24.0268	1.00742	0.525939	0.0366558	0.0773229	0.0406671	50.7618	20.833	37.3608	0.00600034	0.184568	0.0645297	0.00554404	0.171626	0.0888748	0.0199224	0.0702792	0.133713	0.039254	0.107131	0.315029	0.197073	0.212774	0.0715132	0.10495	0.0776496	0.0655347	0.174731	0.293399	0.122974	0.123536	0.297242	0.0378808	0.080833	0.411941	0.0485678	0.184451	0.330534	0.320251	0.164764
