Iteration	Posterior	Likelihood	Prior	node_rates[1]	node_rates[2]	node_rates[3]	node_rates[4]	node_rates[5]	node_rates[6]	node_rates[7]	node_rates[8]	node_rates[9]	node_rates[10]	node_rates[11]	node_rates[12]	node_rates[13]	node_rates[14]	node_rates[15]	node_rates[16]	node_rates[17]	node_rates[18]	death_rate	turnover	diversification	birth_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	nu	root_rate	mean_rt	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	sf[1]	sf[2]	sf[3]	sf[4]
200	-2732.09	-2739.98	7.88621	0.0837318	0.10312	0.113405	0.0861203	0.0808174	0.0819985	0.133561	0.0520753	0.145729	0.226546	0.0909201	0.0909459	0.100328	0.0926558	0.0952705	0.106015	0.111596	0.193305	0.0459027	0.71378	0.0184066	0.0643094	53.0124	19.5324	34.6246	0.00518418	1.398	0.296742	0.110452	0.00046399	0.000527354	0.000554016	0.000458905	0.000445159	0.000448288	0.000621003	0.00042425	0.000878806	0.00135641	0.000471413	0.000475912	0.000500231	0.000487122	0.00052175	0.000564066	0.00079033	0.00127025	0.0402272	0.420374	0.0660981	0.0721407	0.328586	0.0725742	0.184545	0.331547	0.319966	0.163942
210	-2733.7	-2739.31	5.61848	0.0721138	0.072202	0.0910894	0.0824215	0.0905153	0.0885955	0.0703841	0.108398	0.0743386	0.102466	0.0900837	0.0861498	0.0912477	0.0850109	0.0827263	0.0839442	0.127614	0.220429	0.0229252	0.403343	0.0339129	0.0568381	52.1826	20.7999	37.7106	0.00543489	2.17683	0.41847	0.0955405	0.00042077	0.000444166	0.000495491	0.000468774	0.000490768	0.000474861	0.000419379	0.000641348	0.000801014	0.00141562	0.000478905	0.00046512	0.000478973	0.000455817	0.000452918	0.000574898	0.000945787	0.00173617	0.0761656	0.33784	0.0531208	0.0940206	0.39537	0.0434829	0.18425	0.334239	0.31348	0.168031
220	-2732.42	-2741.16	8.73528	0.0501489	0.0425847	0.0498283	0.076453	0.0591044	0.0815545	0.0940337	0.0443017	0.135977	0.406678	0.0590517	0.0574751	0.0460348	0.0579816	0.0613588	0.0648313	0.0834162	0.194271	0.0353772	0.603167	0.0232752	0.0586524	48.1811	21.3489	38.7844	0.00528082	1.72685	0.305759	0.0925047	0.000294426	0.000233992	0.000253118	0.000357788	0.000311981	0.000367095	0.000419469	0.000337227	0.000871989	0.00188113	0.000307679	0.000304853	0.000274646	0.000315107	0.000333193	0.000391434	0.000733207	0.00132028	0.0774968	0.404056	0.063687	0.0891318	0.329401	0.0362276	0.189308	0.30046	0.332197	0.178036
230	-2732.2	-2740.94	8.7344	0.0747778	0.0582659	0.0578713	0.0923195	0.0639284	0.0597811	0.0923656	0.0803287	0.077736	0.359287	0.0647472	0.0626046	0.0539773	0.0583694	0.0567335	0.0775101	0.104704	0.174668	0.0696614	0.565496	0.0535249	0.123186	47.7917	19.47	36.6709	0.00569573	1.24452	0.203095	0.0927764	0.000374526	0.000319654	0.00031853	0.000447305	0.000366451	0.000348538	0.000483783	0.000526949	0.000718814	0.00160159	0.000362681	0.000344518	0.000319948	0.000327797	0.000382308	0.000518922	0.000795616	0.00107582	0.0515408	0.371037	0.0584825	0.0649547	0.347813	0.106172	0.187156	0.322546	0.330328	0.15997
240	-2737.78	-2744.23	6.44677	0.0509045	0.052959	0.0661374	0.0500438	0.066937	0.082442	0.103505	0.0994675	0.0937065	0.217242	0.0585109	0.060242	0.0606607	0.0592782	0.0561342	0.0618568	0.0920464	0.213987	0.0188971	0.207428	0.0722051	0.0911023	48.4246	20.137	36.667	0.00541846	2.07216	0.292894	0.0858923	0.000289992	0.000307822	0.000343525	0.000294099	0.000339867	0.000386564	0.000448003	0.000518855	0.000833612	0.00138208	0.000321729	0.000323808	0.000324942	0.000312679	0.000319664	0.000416959	0.000829115	0.00137326	0.124403	0.373311	0.0356879	0.0857981	0.314155	0.0666455	0.166429	0.321231	0.341654	0.170686
250	-2739.54	-2738.76	-0.774642	0.0371236	0.0311893	0.0867453	0.0353647	0.0450197	0.047616	0.188808	0.0501345	0.0716113	0.366366	0.0458053	0.0543112	0.056893	0.0680515	0.0667745	0.0984513	0.118613	0.280329	0.0247862	0.318297	0.0530851	0.0778713	46.588	19.6409	34.1991	0.00515809	3.5977	0.278262	0.0971782	0.000267958	0.000227168	0.000370449	0.000209341	0.000234242	0.000262875	0.000740854	0.000435208	0.000907668	0.00166252	0.000258205	0.000315579	0.000322237	0.000347722	0.000426124	0.000559819	0.00102889	0.00144063	0.0660644	0.386956	0.059786	0.0840867	0.340351	0.0627555	0.166665	0.332588	0.338353	0.162394
260	-2748.77	-2746.67	-2.09439	0.0889884	0.0480629	0.0776184	0.0771529	0.051766	0.0414877	0.0674469	0.0702893	0.0898754	0.352058	0.0600212	0.0567988	0.0727863	0.0678922	0.0928626	0.123284	0.0937486	0.221069	0.00908793	0.210266	0.0341331	0.0432211	51.5847	17.1053	38.9922	0.00508921	3.29176	0.279215	0.0974005	0.000462739	0.000307513	0.000382721	0.000349054	0.000284454	0.0002501	0.000485335	0.000417412	0.000791231	0.00160634	0.000297261	0.000317289	0.000357971	0.000409057	0.000550008	0.000552263	0.000801087	0.00127302	0.0719879	0.310811	0.0547626	0.0684136	0.425643	0.0683823	0.197583	0.334809	0.295847	0.17176
270	-2736.2	-2740.77	4.56431	0.0575213	0.0596003	0.0591847	0.0483917	0.061067	0.0394355	0.0991661	0.0782275	0.143741	0.232297	0.0472693	0.0438627	0.0537462	0.0497872	0.0499661	0.0824416	0.0893732	0.144023	0.0217071	0.609098	0.013931	0.0356382	49.2971	17.9733	35.778	0.00630551	1.74597	0.242188	0.0799501	0.000338882	0.000357354	0.000356044	0.000301596	0.000341558	0.000262619	0.000572565	0.000528404	0.00090725	0.00149594	0.000287317	0.000295255	0.000326416	0.000314498	0.000417449	0.00054169	0.000735841	0.00121763	0.0622455	0.390373	0.0350541	0.0839454	0.338642	0.0897403	0.183663	0.309871	0.322228	0.184238
280	-2736.31	-2740.55	4.2419	0.0531263	0.0524736	0.0584442	0.0621442	0.0405362	0.0407107	0.0909371	0.0808886	0.0686988	0.0857639	0.0441682	0.044621	0.0717533	0.0471553	0.0485299	0.0892664	0.0835216	0.189428	0.01917	0.430423	0.0253677	0.0445377	50.4694	22.2383	39.6168	0.00537957	2.29729	0.40622	0.0695648	0.000273433	0.000334143	0.000350203	0.000285957	0.000227837	0.000229524	0.000484708	0.000442228	0.000694304	0.00132333	0.000238824	0.000246858	0.000319838	0.000257373	0.000370642	0.000464762	0.000734174	0.00160216	0.0582066	0.389473	0.0726581	0.0837335	0.358532	0.0373973	0.178393	0.339171	0.298324	0.184112
290	-2746.01	-2741.77	-4.24021	0.0483617	0.036464	0.0822508	0.0257891	0.089451	0.0440176	0.156808	0.06324	0.06607	0.308548	0.0383586	0.0452462	0.0508445	0.0462731	0.0526395	0.0999601	0.111098	0.188264	0.0297374	0.300131	0.069344	0.0990815	49.0954	20.6732	38.2261	0.00523879	3.63259	0.301827	0.0863158	0.000264562	0.000228695	0.000348629	0.000168028	0.000334783	0.000233817	0.000672577	0.00045666	0.0006662	0.00159881	0.000218994	0.000239725	0.000254389	0.000259091	0.000399719	0.000552845	0.000784146	0.00128374	0.0690453	0.423263	0.0861879	0.0993256	0.277817	0.0443612	0.185319	0.320261	0.318631	0.17579
