Iteration	Posterior	Likelihood	Prior	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	diversification	turnover	birth_rate	death_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	concentration	n_cats	mean_rt	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	sf[1]	sf[2]	sf[3]	sf[4]
220	-2796.77	-2750.42	-46.3462	0.11306	0.11306	0.11306	0.11306	0.11306	0.11306	0.11306	0.11306	0.11306	0.11306	0.11306	0.11306	0.546742	0.11306	0.11306	0.11306	0.11306	0.546742	0.0341384	0.372226	0.05438	0.0202417	49.1829	18.947	36.4108	0.00536693	0.753479	2	0.161247	0.0661572	0.35352	0.0236918	0.0944151	0.414421	0.0477948	0.194508	0.30425	0.329979	0.171264
230	-2786.88	-2743.29	-43.5834	0.0985706	0.0985706	0.0985706	0.0985706	0.0985706	0.0985706	0.0985706	0.0985706	0.0985706	0.377942	0.0985706	0.0985706	0.0985706	0.0985706	0.0985706	0.0985706	0.0985706	0.0985706	0.0322584	0.405372	0.0542497	0.0219913	45.7249	21.2631	41.1232	0.0053246	0.753479	2	0.114091	0.0473611	0.379462	0.0434735	0.0899363	0.39424	0.0455275	0.193549	0.323079	0.320151	0.163221
240	-2790.44	-2743.68	-46.761	0.0996377	0.0996377	0.0996377	0.0996377	0.353268	0.0996377	0.0996377	0.0996377	0.0996377	0.353268	0.0996377	0.0996377	0.0996377	0.0996377	0.0996377	0.0996377	0.0996377	0.0996377	0.0190925	0.784071	0.0884201	0.0693276	47.014	20.1746	38.2099	0.00528944	0.753479	2	0.127819	0.0498893	0.379397	0.0465267	0.0925055	0.384853	0.0468281	0.173221	0.328686	0.324473	0.17362
250	-2789.2	-2745.32	-43.8861	0.108231	0.108231	0.108231	0.108231	0.108231	0.108231	0.108231	0.108231	0.108231	0.373132	0.108231	0.108231	0.108231	0.108231	0.108231	0.108231	0.108231	0.108231	0.050738	0.363389	0.0797001	0.0289621	48.7337	18.1658	48.0598	0.0055604	0.753479	2	0.122947	0.0287263	0.365458	0.105344	0.0522396	0.407951	0.040282	0.174661	0.331419	0.32717	0.166749
260	-2794.4	-2744	-50.3999	0.126461	0.126461	0.126461	0.166468	0.126461	0.126461	0.126461	0.126461	0.126461	0.126461	0.126461	0.126461	0.126461	0.126461	0.126461	0.126461	0.126461	0.655209	0.0393654	0.215876	0.050203	0.0108376	53.1498	19.4749	37.8598	0.00490369	0.753479	3	0.158059	0.0758036	0.338713	0.0556102	0.0888897	0.384824	0.05616	0.175766	0.318518	0.32924	0.176476
270	-2806.97	-2752.69	-54.2791	0.0766474	0.122004	0.122004	0.0766474	0.122004	0.122004	0.122004	0.122004	0.122004	0.269838	0.122004	0.122004	0.122004	0.122004	0.122004	0.122004	0.122004	0.122004	0.0369647	0.0251168	0.0379171	0.000952353	47.5121	22.5672	41.4345	0.0050555	0.753479	3	0.125177	0.0564161	0.342667	0.0493012	0.0723042	0.416476	0.0628356	0.183072	0.336732	0.326561	0.153635
280	-2789.58	-2740.36	-49.2161	0.101945	0.101945	0.101945	0.101945	0.101945	0.101945	0.101945	0.101945	0.101945	0.428916	0.101945	0.101945	0.101945	0.15201	0.101945	0.101945	0.101945	0.101945	0.0754969	0.196231	0.0939286	0.0184317	48.3911	20.4119	45.3545	0.00537894	0.753479	3	0.122891	0.0501451	0.426263	0.0656044	0.077871	0.331018	0.0490986	0.181407	0.33367	0.311484	0.173439
290	-2804.13	-2754.73	-49.4032	0.109011	0.109011	0.517059	0.109011	0.109011	0.109011	0.109011	0.109011	0.109011	0.517059	0.109011	0.109011	0.109011	0.109011	0.517059	0.109011	0.109011	0.109011	0.0257848	0.469512	0.0486059	0.0228211	50.9395	19.2639	45.9964	0.00518013	0.753479	2	0.177019	0.0601608	0.391004	0.0787079	0.0678115	0.356911	0.0454047	0.161319	0.364997	0.306726	0.166958
300	-2790.01	-2745.11	-44.9004	0.105049	0.105049	0.105049	0.105049	0.105049	0.105049	0.105049	0.105049	0.105049	0.346882	0.105049	0.105049	0.105049	0.105049	0.105049	0.105049	0.105049	0.105049	0.0552262	0.12064	0.0628027	0.0075765	50.0589	16.9078	39.9098	0.00565996	0.753479	2	0.118484	0.0446168	0.415208	0.0781323	0.0626696	0.354301	0.0450727	0.167052	0.331096	0.305873	0.195979
310	-2801.7	-2744.3	-57.4072	0.0776156	0.139229	0.139229	0.139229	0.139229	0.139229	0.139229	0.0776156	0.139229	0.295657	0.139229	0.0776156	0.139229	0.0776156	0.0776156	0.139229	0.139229	0.139229	0.0439257	0.154756	0.0519681	0.00804238	51.8768	21.767	35.3088	0.00498826	0.753479	3	0.130805	0.0761328	0.38917	0.0449141	0.0721683	0.361709	0.055906	0.177341	0.307323	0.339888	0.175448
320	-2790.66	-2740.08	-50.5802	0.113467	0.113467	0.544919	0.113467	0.39846	0.113467	0.113467	0.113467	0.113467	0.39846	0.113467	0.113467	0.113467	0.113467	0.113467	0.113467	0.113467	0.113467	0.0453944	0.151297	0.0534868	0.00809242	49.5367	19.9204	39.634	0.00495482	0.753479	3	0.169103	0.0699238	0.402758	0.0484953	0.0779225	0.33882	0.0620807	0.172593	0.335944	0.319434	0.172029
330	-2791.01	-2743.51	-47.5008	0.126394	0.126394	0.126394	0.126394	0.126394	0.126394	0.126394	0.126394	0.126394	0.126394	0.126394	0.126394	0.126394	0.126394	0.126394	0.126394	0.126394	1.00217	0.0443676	0.309406	0.0642456	0.0198779	53.9278	18.7849	42.6762	0.00512329	0.753479	2	0.175048	0.0752872	0.365925	0.0417297	0.0670515	0.396586	0.0534198	0.167117	0.340028	0.323377	0.169478
340	-2789.4	-2746.61	-42.7891	0.126358	0.126358	0.126358	0.126358	0.126358	0.126358	0.126358	0.126358	0.126358	0.331931	0.126358	0.126358	0.126358	0.126358	0.126358	0.126358	0.126358	0.126358	0.0608235	0.483082	0.117666	0.0568422	47.4277	16.673	37.246	0.0056288	0.753479	2	0.137778	0.0325244	0.372865	0.073987	0.0587549	0.390548	0.0713209	0.169151	0.334464	0.322006	0.174379
350	-2790.18	-2742.88	-47.3071	0.115942	0.115942	0.115942	0.115942	0.115942	0.115942	0.115942	0.115942	0.115942	0.346477	0.115942	0.115942	0.115942	0.115942	0.115942	0.115942	0.115942	0.115942	0.0771637	0.624057	0.205254	0.12809	46.9715	19.5822	38.9039	0.00527606	0.753479	2	0.128749	0.0321421	0.368483	0.0731175	0.0580644	0.408437	0.0597562	0.181756	0.328717	0.326397	0.163131
360	-2785.43	-2740.44	-44.9914	0.109255	0.109255	0.109255	0.109255	0.109255	0.109255	0.109255	0.109255	0.109255	0.347069	0.109255	0.109255	0.109255	0.109255	0.109255	0.109255	0.109255	0.109255	0.0540745	0.579192	0.128502	0.0744272	52.0508	18.5072	42.9735	0.00545184	0.753479	2	0.122467	0.0629797	0.35963	0.0365656	0.0566694	0.425834	0.0583206	0.179855	0.325278	0.322983	0.171884
370	-2793.36	-2747.78	-45.5792	0.0881653	0.0881653	0.0881653	0.0881653	0.0881653	0.0881653	0.0881653	0.0881653	0.0881653	0.337045	0.0881653	0.0881653	0.0881653	0.0881653	0.0881653	0.0881653	0.0881653	0.0881653	0.0122295	0.881458	0.103167	0.0909371	48.2063	21.547	48.1309	0.0056715	0.753479	2	0.101992	0.097667	0.357655	0.0501555	0.06007	0.362085	0.0723674	0.191757	0.306015	0.320121	0.182107
