Iteration	Posterior	Likelihood	Prior	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[14]	br_lens[15]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[7]	br_lens[6]	br_lens[12]	br_lens[13]	er[1][0]	er[1][1]	er[1][2]	er[1][3]	er[1][4]	er[1][5]	er[2][0]	er[2][1]	er[2][2]	er[2][3]	er[2][4]	er[2][5]	sf[2][0]	sf[2][1]	sf[2][2]	sf[2][3]	sf[1][0]	sf[1][1]	sf[1][2]	sf[1][3]	norm_gamma_rates[2][0]	norm_gamma_rates[2][1]	norm_gamma_rates[2][2]	norm_gamma_rates[2][3]	shape[2]	shape[1]	norm_gamma_rates[1][0]	norm_gamma_rates[1][1]	norm_gamma_rates[1][2]	norm_gamma_rates[1][3]	shape[0]	shape[1]
200	-9637.79	-9649.63	11.8398	0.0118673	0.052926	0.0263958	0.00498021	0.00829007	0.0434379	0.0608745	0.0455557	0.0122448	0.770799	0.0238612	0.0118673	0.052926	0.0263958	0.00498021	0.0239576	0.0464706	0.0167726	0.00977032	0.0167726	0.00977032	0.00829007	0.0434379	0.0608745	0.0455557	0.0122448	0.0238612	0.770799	0.0239576	0.0464706	0.0859969	0.311743	0.0187666	0.0390072	0.510774	0.0337123	0.0715427	0.212848	0.0914132	0.0703908	0.44854	0.105265	0.28138	0.183697	0.233428	0.301495	0.305938	0.185289	0.226141	0.282631	0.600341	0.856086	1.07589	1.46768	8.3346	0.119189	4.89111e-06	0.00327953	0.1485	3.84822	0.119189	8.3346
210	-9639.9	-9651.15	11.2561	0.0101832	0.0566847	0.0228753	0.00729165	0.00874619	0.0343708	0.065967	0.0361109	0.008664	0.854256	0.034222	0.0101832	0.0566847	0.0228753	0.00729165	0.0373988	0.033146	0.010613	0.0114789	0.010613	0.0114789	0.00874619	0.0343708	0.065967	0.0361109	0.008664	0.034222	0.854256	0.0373988	0.033146	0.0669612	0.371751	0.0190168	0.0278373	0.488183	0.02625	0.096871	0.256527	0.0809639	0.0751373	0.397268	0.0932324	0.278991	0.196009	0.231447	0.293553	0.298554	0.185264	0.237378	0.278805	0.512832	0.810105	1.08281	1.59426	5.26775	0.100526	5.66065e-07	0.00111779	0.0951681	3.90371	0.100526	5.26775
220	-9638.26	-9650.59	12.3314	0.00844869	0.0514123	0.00815965	0.00370953	0.01415	0.0369664	0.0621537	0.0443611	0.00716656	0.761369	0.0240126	0.00844869	0.0514123	0.00815965	0.00370953	0.0373988	0.0412204	0.0137805	0.0115111	0.0137805	0.0115111	0.01415	0.0369664	0.0621537	0.0443611	0.00716656	0.0240126	0.761369	0.0373988	0.0412204	0.0710932	0.373709	0.0228693	0.0334766	0.467284	0.0315678	0.117486	0.221551	0.0810444	0.0680559	0.428699	0.0831636	0.278756	0.197832	0.233599	0.289813	0.307187	0.189327	0.232498	0.270988	0.50198	0.803904	1.08331	1.61081	4.99766	0.101636	6.57941e-07	0.00120496	0.0981744	3.90062	0.101636	4.99766
230	-9640.53	-9652.07	11.5368	0.00850227	0.0390934	0.0194435	0.00741165	0.0127481	0.0365595	0.055016	0.0335769	0.00833132	0.844665	0.0295581	0.00850227	0.0390934	0.0194435	0.00741165	0.0404198	0.0443854	0.018483	0.0130792	0.018483	0.0130792	0.0127481	0.0365595	0.055016	0.0335769	0.00833132	0.0295581	0.844665	0.0404198	0.0443854	0.0605257	0.398918	0.0270087	0.0171105	0.46274	0.0336972	0.102293	0.260086	0.0781042	0.0584289	0.413509	0.0875795	0.276244	0.187095	0.224128	0.312533	0.301019	0.197711	0.242794	0.258477	0.443477	0.768286	1.08438	1.70386	3.80771	0.0930084	1.85919e-07	0.000641044	0.0755822	3.92378	0.0930084	3.80771
240	-9639.91	-9651.57	11.6583	0.0122856	0.045844	0.0193182	0.00891205	0.00768101	0.0466574	0.0617259	0.0342742	0.00992582	0.799226	0.0244422	0.0122856	0.045844	0.0193182	0.00891205	0.0394744	0.0477767	0.0157616	0.0130892	0.0157616	0.0130892	0.00768101	0.0466574	0.0617259	0.0342742	0.00992582	0.0244422	0.799226	0.0394744	0.0477767	0.0706498	0.421452	0.0344673	0.0489785	0.391607	0.032846	0.108881	0.261881	0.0773577	0.0555813	0.409557	0.0867424	0.286602	0.184646	0.225559	0.303194	0.312603	0.198446	0.220719	0.268232	0.549594	0.830259	1.0805	1.53965	6.33578	0.111289	2.14465e-06	0.00217344	0.125306	3.87252	0.111289	6.33578
250	-9647.98	-9657.24	9.25708	0.0120399	0.0515639	0.0250034	0.0058954	0.00857731	0.0300035	0.0620571	0.0358856	0.0154662	0.720726	0.0197429	0.0120399	0.0515639	0.0250034	0.0058954	0.0318219	0.0385348	0.0170292	0.0112472	0.0170292	0.0112472	0.00857731	0.0300035	0.0620571	0.0358856	0.0154662	0.0197429	0.720726	0.0318219	0.0385348	0.0825063	0.320896	0.0291156	0.055399	0.484337	0.027746	0.107324	0.24364	0.0680497	0.0790127	0.386458	0.115516	0.299688	0.190639	0.21742	0.292254	0.312749	0.198539	0.220822	0.267891	0.856824	0.958651	1.03368	1.15084	74.5087	0.122009	6.39691e-06	0.00374938	0.156925	3.83932	0.122009	74.5087
260	-9650.9	-9663.53	12.6323	0.00901128	0.0388488	0.0376754	0.00523348	0.0149761	0.0462746	0.0587689	0.0501454	0.0128277	0.713341	0.0195223	0.00901128	0.0388488	0.0376754	0.00523348	0.0132134	0.0285407	0.0183626	0.0079048	0.0183626	0.0079048	0.0149761	0.0462746	0.0587689	0.0501454	0.0128277	0.0195223	0.713341	0.0132134	0.0285407	0.0711274	0.354326	0.0122591	0.0304565	0.496447	0.0353838	0.10599	0.290362	0.0646905	0.056277	0.381654	0.101027	0.299499	0.190519	0.217283	0.292699	0.310044	0.17826	0.250316	0.26138	0.61772	0.864442	1.07397	1.44387	9.21308	0.102536	7.41565e-07	0.00127914	0.100633	3.89809	0.102536	9.21308
270	-9636.93	-9648.85	11.9242	0.0111337	0.0414524	0.0381025	0.0109452	0.0104296	0.0402679	0.0679733	0.0390306	0.00558202	0.789842	0.0234425	0.0111337	0.0414524	0.0381025	0.0109452	0.0132914	0.0402667	0.0156303	0.00761712	0.0156303	0.00761712	0.0104296	0.0402679	0.0679733	0.0390306	0.00558202	0.0234425	0.789842	0.0132914	0.0402667	0.0647079	0.415161	0.00859359	0.0277077	0.45164	0.0321903	0.108717	0.215894	0.0573344	0.0577248	0.456704	0.103626	0.273821	0.184226	0.219308	0.322646	0.308718	0.19013	0.224542	0.27661	0.57678	0.844367	1.07822	1.50063	7.31523	0.0910982	1.36058e-07	0.000548483	0.070849	3.9286	0.0910982	7.31523
280	-9644.01	-9655.29	11.2857	0.0102277	0.0538493	0.046112	0.00794568	0.0116065	0.0333028	0.0538499	0.0473738	0.00895839	0.802754	0.021794	0.0102277	0.0538493	0.046112	0.00794568	0.000600401	0.0385636	0.0275635	0.00768529	0.0275635	0.00768529	0.0116065	0.0333028	0.0538499	0.0473738	0.00895839	0.021794	0.802754	0.000600401	0.0385636	0.0989607	0.375131	0.00939477	0.0302909	0.451032	0.0351914	0.121058	0.240402	0.060327	0.0459685	0.416855	0.11539	0.280987	0.183308	0.218215	0.31749	0.315999	0.179501	0.230856	0.273643	0.707638	0.904118	1.06161	1.32663	16.6131	0.12594	9.11409e-06	0.00447341	0.168757	3.82676	0.12594	16.6131
290	-9639.13	-9650.89	11.76	0.0125981	0.0487224	0.052412	0.00829583	0.0107702	0.0403021	0.0656281	0.0516119	0.0077081	0.797786	0.0211681	0.0125981	0.0487224	0.052412	0.00829583	0.00296773	0.0374492	0.0130532	0.00937849	0.0130532	0.00937849	0.0107702	0.0403021	0.0656281	0.0516119	0.0077081	0.0211681	0.797786	0.00296773	0.0374492	0.0723243	0.331802	0.0237456	0.0394941	0.508541	0.0240936	0.0847912	0.260417	0.0680612	0.0864962	0.396274	0.103961	0.276142	0.204608	0.21101	0.308239	0.297341	0.188146	0.230293	0.284221	0.52624	0.817605	1.08207	1.57408	5.62801	0.0922835	1.65396e-07	0.000604669	0.0737733	3.92562	0.0922835	5.62801
