Iteration	Posterior	Likelihood	Prior	sf[0]	sf[1]	sf[2]	sf[3]	er[0]	er[1]	er[2]	er[3]	er[4]	er[5]	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	norm_gamma_rates[0]	norm_gamma_rates[1]	norm_gamma_rates[2]	norm_gamma_rates[3]	shape
200	-9890.07	-9901.48	11.417	0.300692	0.194581	0.223442	0.281285	0.113339	0.254887	0.0455944	0.0526999	0.437095	0.0963849	0.0400435	0.0130063	0.0193856	0.553828	0.00455169	0.0512921	0.0344568	0.0325699	0.00722348	0.00739096	0.0402732	0.02262	0.0301494	0.00954207	0.0151159	0.00455169	0.0512921	0.0344568	0.0325699	0.00722348	0.00739096	0.0402732	0.02262	0.0301494	0.00954207	0.0151159	0.0400435	0.0130063	0.0193856	0.553828	0.0510852	0.306759	0.876215	2.76594	0.590161
210	-9886.51	-9897.86	11.3475	0.292381	0.182039	0.227319	0.298261	0.119918	0.26656	0.0619325	0.0440348	0.446096	0.0614592	0.0389871	0.0145296	0.0213563	0.543331	0.0123049	0.0573413	0.0395624	0.0398058	0.0112936	0.00761598	0.0369245	0.0186009	0.0266253	0.00474735	0.0151159	0.0123049	0.0573413	0.0395624	0.0398058	0.0112936	0.00761598	0.0369245	0.0186009	0.0266253	0.00474735	0.0151159	0.0389871	0.0145296	0.0213563	0.543331	0.0619736	0.335084	0.90154	2.7014	0.642491
220	-9886.82	-9898.17	11.3534	0.289991	0.183047	0.236705	0.290257	0.107422	0.232191	0.0645467	0.0511727	0.464689	0.0799785	0.0449104	0.0117954	0.022614	0.51469	0.0068712	0.0666263	0.0503183	0.0425184	0.011753	0.0106225	0.0349128	0.0138039	0.0231845	0.0034137	0.0294087	0.0068712	0.0666263	0.0503183	0.0425184	0.011753	0.0106225	0.0349128	0.0138039	0.0231845	0.0034137	0.0294087	0.0449104	0.0117954	0.022614	0.51469	0.0665129	0.346017	0.910744	2.67673	0.663959
230	-9884.61	-9895.86	11.2516	0.290292	0.185781	0.237363	0.286565	0.114563	0.261218	0.0492073	0.0545743	0.455699	0.0647389	0.0362712	0.0145804	0.0270148	0.549627	0.00725834	0.0594038	0.0406003	0.0272191	0.00911558	0.00775079	0.0449605	0.0151069	0.0328321	0.00917804	0.0164975	0.00725834	0.0594038	0.0406003	0.0272191	0.00911558	0.00775079	0.0449605	0.0151069	0.0328321	0.00917804	0.0164975	0.0362712	0.0145804	0.0270148	0.549627	0.0754503	0.366304	0.927038	2.63121	0.705907
240	-9889.48	-9900.41	10.9333	0.298286	0.186022	0.238561	0.277132	0.119929	0.259167	0.0464689	0.0515373	0.452954	0.0699436	0.0443548	0.00854715	0.023817	0.573748	0.00765823	0.0510559	0.0397112	0.0348518	0.0146167	0.0170689	0.0343688	0.0174719	0.0305907	0.0103609	0.021452	0.00765823	0.0510559	0.0397112	0.0348518	0.0146167	0.0170689	0.0343688	0.0174719	0.0305907	0.0103609	0.021452	0.0443548	0.00854715	0.023817	0.573748	0.0573926	0.323556	0.891498	2.72755	0.620648
250	-9885.93	-9897.4	11.4747	0.304509	0.178497	0.230176	0.286818	0.108325	0.217347	0.0482512	0.0768571	0.461578	0.0876415	0.0363813	0.0133469	0.01985	0.532166	0.00803293	0.0600132	0.041318	0.0387321	0.00768028	0.00880837	0.0365199	0.021159	0.0280497	0.00707163	0.0160284	0.00803293	0.0600132	0.041318	0.0387321	0.00768028	0.00880837	0.0365199	0.021159	0.0280497	0.00707163	0.0160284	0.0363813	0.0133469	0.01985	0.532166	0.0733424	0.361655	0.923392	2.64161	0.696039
260	-9891.49	-9903.3	11.8113	0.295679	0.176905	0.237159	0.290257	0.118059	0.254811	0.0525871	0.0786473	0.438621	0.0572747	0.0434873	0.0102369	0.0229215	0.470574	0.009071	0.0642456	0.0408041	0.0451543	0.0085578	0.00944191	0.0340911	0.0131257	0.0363452	0.00826739	0.0247011	0.009071	0.0642456	0.0408041	0.0451543	0.0085578	0.00944191	0.0340911	0.0131257	0.0363452	0.00826739	0.0247011	0.0434873	0.0102369	0.0229215	0.470574	0.0933652	0.402954	0.95406	2.54962	0.7897
270	-9886.33	-9897.7	11.3649	0.298709	0.185075	0.230928	0.285289	0.115557	0.242241	0.0514727	0.0579052	0.444011	0.0888122	0.0367066	0.0117463	0.0212477	0.548743	0.00673397	0.0510487	0.0431985	0.0444587	0.00969573	0.0107245	0.031696	0.0131257	0.0180023	0.0122654	0.0268611	0.00673397	0.0510487	0.0431985	0.0444587	0.00969573	0.0107245	0.031696	0.0131257	0.0180023	0.0122654	0.0268611	0.0367066	0.0117463	0.0212477	0.548743	0.0682518	0.350087	0.914093	2.66757	0.672148
280	-9882.69	-9894.5	11.8054	0.295565	0.183127	0.228497	0.292811	0.125628	0.275159	0.0624072	0.0515831	0.417539	0.0676837	0.0349557	0.00982188	0.0238965	0.496322	0.00736916	0.0622266	0.0430254	0.0371906	0.00853912	0.0130141	0.0368505	0.017516	0.0356623	0.00439362	0.0115324	0.00736916	0.0622266	0.0430254	0.0371906	0.00853912	0.0130141	0.0368505	0.017516	0.0356623	0.00439362	0.0115324	0.0349557	0.00982188	0.0238965	0.496322	0.0635625	0.338963	0.904841	2.69263	0.650023
290	-9885.98	-9896.54	10.5627	0.296372	0.183627	0.229121	0.290879	0.118255	0.273356	0.042992	0.0450584	0.444375	0.0759638	0.0352187	0.00984287	0.0237796	0.621492	0.00722851	0.0629297	0.0483629	0.0352159	0.00721814	0.00976186	0.0301715	0.0152215	0.0359564	0.0074571	0.0165368	0.00722851	0.0629297	0.0483629	0.0352159	0.00721814	0.00976186	0.0301715	0.0152215	0.0359564	0.0074571	0.0165368	0.0352187	0.00984287	0.0237796	0.621492	0.0714429	0.357397	0.920007	2.65115	0.687136
