Iteration	Posterior	Likelihood	Prior	dp	r	csf[1]	csf[2]	csf[3]
980	-54.2038	-57.7138	3.51003	0.0335362	0.145292	0.241892	0.158693	0.599415
990	-51.6086	-55.1071	3.49847	0.0578986	0.122087	0.0958813	0.479888	0.424231
1000	-42.7585	-46.9308	4.17227	0.0387862	0.0738181	0.216518	0.348225	0.435258
1010	-49.2723	-53.2817	4.00946	0.0209654	0.10792	0.846368	0.0390669	0.114566
1020	-64.6444	-68.0341	3.38975	0.00993864	0.180918	0.212113	0.49243	0.295456
1030	-53.3503	-57.5045	4.15419	0.0044058	0.110007	0.330625	0.315239	0.354136
1040	-42.0795	-46.4135	4.33394	0.00441788	0.0920194	0.169451	0.148641	0.681908
1050	-65.5383	-69.3408	3.80252	0.0098349	0.139744	0.125104	0.20503	0.669867
1060	-48.0407	-51.9807	3.93995	0.0365614	0.0992759	0.14111	0.37632	0.48257
1070	-46.8164	-50.9529	4.13647	0.0140721	0.102113	0.426504	0.145789	0.427706
1080	-62.0381	-66.0072	3.96908	0.0287069	0.104217	0.465714	0.217733	0.316552
1090	-51.3353	-55.1429	3.8076	0.0132436	0.135828	0.237967	0.585127	0.176906
1100	-54.677	-58.8361	4.15913	0.00988572	0.104033	0.526928	0.149575	0.323497
1110	-61.0608	-64.4849	3.42416	0.0355231	0.151893	0.459969	0.00575695	0.534274
1120	-42.6487	-46.5204	3.87174	0.0567556	0.0859025	0.571698	0.130827	0.297474
1130	-53.5288	-57.1691	3.64031	0.0593294	0.106472	0.399908	0.519667	0.0804249
1140	-68.9158	-71.5513	2.63556	0.0919658	0.17431	0.358858	0.476583	0.164559
1150	-49.2929	-52.7239	3.43094	0.0451967	0.141541	0.701333	0.270253	0.0284139
1160	-60.0129	-63.7478	3.73482	0.051586	0.104763	0.359445	0.597492	0.0430624
1170	-43.0046	-46.7246	3.72002	0.0789166	0.0789134	0.524197	0.211838	0.263965
1180	-42.9642	-47.4173	4.45303	0.0187315	0.0657976	0.270665	0.162117	0.567218
1190	-51.0958	-55.1402	4.04443	0.00579432	0.119594	0.0793516	0.319846	0.600802
1200	-52.8345	-57.2479	4.41339	0.00328317	0.08521	0.183793	0.418158	0.39805
1210	-59.9204	-63.3115	3.39115	0.00456035	0.186156	0.0222125	0.586261	0.391527
1220	-59.7602	-63.785	4.02476	0.0109591	0.116397	0.0724502	0.405092	0.522458
1230	-52.6803	-56.9964	4.31609	0.0201549	0.0780682	0.565228	0.410789	0.0239833
1240	-66.4626	-69.7759	3.31325	0.0252882	0.173218	0.749958	0.226745	0.023297
1250	-65.6557	-69.1431	3.48742	0.0640262	0.117064	0.839109	0.150159	0.0107318
1260	-67.1361	-70.6439	3.50781	0.0503833	0.128667	0.681981	0.193948	0.124071
1270	-54.3039	-55.7309	1.42698	0.254486	0.132647	0.374858	0.281557	0.343584
1280	-59.9666	-63.0252	3.05855	0.067542	0.156434	0.111651	0.432307	0.456042
1290	-53.6288	-56.9763	3.34758	0.061862	0.133211	0.407732	0.317836	0.274431
1300	-56.8579	-59.769	2.91116	0.127273	0.111443	0.0779331	0.449342	0.472725
1310	-49.0313	-52.2027	3.17147	0.107283	0.105402	0.193426	0.148521	0.658053
1320	-59.2285	-60.857	1.62845	0.25418	0.112806	0.183693	0.365033	0.451274
1330	-51.3991	-53.1123	1.71317	0.207236	0.151278	0.342648	0.273812	0.38354
1340	-47.2684	-50.9573	3.68888	0.0571241	0.10382	0.14173	0.566239	0.292031
1350	-83.1623	-85.9729	2.81054	0.0294306	0.219347	0.231974	0.373849	0.394177
1360	-70.7621	-73.7273	2.96525	0.0405539	0.192753	0.46552	0.279568	0.254911
1370	-65.018	-68.6911	3.67306	0.0543716	0.108154	0.675299	0.0773724	0.247329
1380	-58.796	-61.4656	2.66958	0.0856525	0.177221	0.427441	0.137731	0.434828
1390	-68.9387	-70.3696	1.43087	0.21355	0.173194	0.281573	0.412753	0.305674
1400	-69.5196	-69.2996	-0.219999	0.380643	0.171188	0.856651	0.0425361	0.100813
1410	-52.5916	-53.6441	1.05249	0.278772	0.145811	0.596213	0.15805	0.245737
1420	-43.6075	-46.7653	3.15782	0.0841174	0.129932	0.659465	0.192772	0.147763
