Iteration	Posterior	Likelihood	Prior	diversification	turnover	birth_rate	death_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	concentration	n_cats	mean_rt	sf[1]	sf[2]	sf[3]	sf[4]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]
230	-2793.07	-2743.51	-49.5588	0.0450153	0.50262	0.0905049	0.0454896	47.8705	19.6259	47.4713	0.00542096	0.0882687	0.0882687	0.358454	0.0882687	0.0882687	0.0882687	0.0882687	0.0882687	0.0882687	0.341119	0.0882687	0.358454	0.0882687	0.0882687	0.0882687	0.0882687	0.0882687	0.0882687	0.640621	3	0.132336	0.189124	0.311673	0.323526	0.175678	0.0428658	0.406245	0.0517165	0.0837378	0.372892	0.0425429
240	-2790.88	-2746.85	-44.0254	0.0341918	0.356038	0.0530959	0.0189041	47.9818	17.1444	42.5504	0.00562588	0.122272	0.122272	0.122272	0.122272	0.122272	0.122272	0.122272	0.122272	0.122272	0.410377	0.122272	0.122272	0.122272	0.122272	0.122272	0.122272	0.122272	0.122272	0.852943	2	0.138277	0.163472	0.344389	0.322525	0.169614	0.0357149	0.43266	0.0430891	0.0697686	0.378632	0.0401362
250	-2790.18	-2744.29	-45.8931	0.0270072	0.847794	0.177438	0.150431	48.1059	20.4828	41.0552	0.00571802	0.102222	0.102222	0.102222	0.102222	0.102222	0.102222	0.102222	0.102222	0.102222	0.307361	0.102222	0.102222	0.102222	0.102222	0.102222	0.102222	0.102222	0.102222	0.296514	2	0.113618	0.166642	0.320096	0.340358	0.172903	0.0445935	0.425146	0.0255286	0.068557	0.396736	0.0394392
260	-2800.17	-2748.09	-52.0774	0.0297228	0.61322	0.0768467	0.0471239	50.0413	25.5529	46.7439	0.00577646	0.0875691	0.0875691	0.0875691	0.164451	0.164451	0.0875691	0.0875691	0.0875691	0.0875691	0.357261	0.0875691	0.0875691	0.0875691	0.0875691	0.0875691	0.0875691	0.0875691	0.0875691	0.519897	3	0.111094	0.17054	0.344616	0.323753	0.161092	0.0968279	0.301949	0.0532079	0.0670438	0.412451	0.0685211
270	-2795	-2743.14	-51.8561	0.0715846	0.355064	0.110995	0.0394103	45.4597	18.0917	36.8641	0.0055724	0.116272	0.116272	0.374936	0.116272	0.374936	0.215261	0.116272	0.116272	0.116272	0.374936	0.116272	0.116272	0.116272	0.116272	0.116272	0.116272	0.116272	0.116272	0.461249	3	0.164882	0.187563	0.306524	0.345744	0.16017	0.0872463	0.338964	0.0479427	0.0880499	0.374335	0.0634615
280	-2795.17	-2745.01	-50.1598	0.0602593	0.106172	0.067417	0.00715777	46.3353	21.0585	44.9759	0.00549764	0.103195	0.103195	0.272354	0.103195	0.103195	0.103195	0.272354	0.103195	0.103195	0.38463	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.103195	0.469231	3	0.137625	0.173285	0.293452	0.348343	0.184921	0.1005	0.367851	0.0424798	0.0635315	0.377822	0.0478151
290	-2793.93	-2742.35	-51.5831	0.0646917	0.525533	0.136346	0.0716544	48.8632	18.8851	43.7832	0.00504848	0.111553	0.111553	0.111553	0.111553	1.08017	0.111553	0.111553	0.111553	0.111553	0.384058	0.111553	0.111553	0.111553	0.111553	0.111553	0.111553	0.111553	0.111553	1.22779	3	0.180505	0.168161	0.359935	0.303265	0.168639	0.0606835	0.39432	0.0546781	0.0632645	0.363871	0.0631827
300	-2808.49	-2751.6	-56.8905	0.0302492	0.415542	0.051756	0.0215068	46.8612	18.3182	43.0412	0.00519941	0.106153	0.338849	0.338849	0.426502	0.426502	0.426502	0.426502	0.106153	0.106153	0.426502	0.426502	0.106153	0.426502	0.106153	0.426502	0.106153	0.106153	0.426502	0.316696	3	0.292182	0.17947	0.36554	0.293684	0.161306	0.0596866	0.378271	0.0887966	0.0622253	0.348876	0.0621448
310	-2785.37	-2742.71	-42.6604	0.035569	0.443113	0.0638712	0.0283021	48.1531	19.0225	45.8281	0.00522769	0.122968	0.122968	0.122968	0.122968	0.122968	0.122968	0.122968	0.122968	0.122968	0.38584	0.122968	0.122968	0.122968	0.122968	0.122968	0.122968	0.122968	0.122968	0.467287	2	0.137572	0.19068	0.322926	0.311889	0.174505	0.0569268	0.440669	0.00942175	0.0720386	0.36026	0.060684
320	-2803.41	-2748.82	-54.589	0.0392717	0.318883	0.0576577	0.018386	51.5089	17.0531	37.8341	0.00484127	0.142143	0.142143	0.216829	0.142143	0.142143	0.142143	0.216829	0.142143	0.142143	0.322766	0.216829	0.142143	0.142143	0.142143	0.142143	0.142143	0.142143	0.216829	0.490655	3	0.168775	0.202305	0.340113	0.296243	0.161339	0.0593065	0.426334	0.0742536	0.0635864	0.317819	0.0587008
330	-2789.75	-2745.84	-43.9086	0.0771386	0.32475	0.114237	0.0370985	46.5033	18.7691	36.9892	0.00545148	0.129751	0.129751	0.129751	0.129751	0.129751	0.129751	0.129751	0.129751	0.129751	0.351017	0.129751	0.129751	0.129751	0.129751	0.129751	0.129751	0.129751	0.129751	0.403462	2	0.142043	0.180029	0.348393	0.313642	0.157936	0.056571	0.305215	0.0532739	0.0704656	0.391369	0.123106
340	-2798.92	-2748.94	-49.9872	0.0295295	0.329767	0.0440585	0.0145291	45.5873	17.9979	44.32	0.0050228	0.14774	0.14774	0.14774	0.14774	0.14774	0.14774	0.14774	0.14774	0.14774	0.394523	0.14774	0.394523	0.14774	0.14774	0.14774	0.14774	0.14774	0.285473	0.720817	3	0.182812	0.183864	0.346274	0.312315	0.157547	0.0944566	0.388975	0.0253338	0.0522679	0.329062	0.109905
350	-2802.5	-2757.08	-45.4179	0.0657388	0.297735	0.0936096	0.0278708	48.5247	19.2331	48.2533	0.00526528	0.0971816	0.0971816	0.0971816	0.0971816	0.0971816	0.0971816	0.0971816	0.0971816	0.0971816	0.630406	0.0971816	0.0971816	0.0971816	0.0971816	0.0971816	0.0971816	0.0971816	0.0971816	0.525835	2	0.126805	0.188902	0.328174	0.328606	0.154319	0.0726261	0.404626	0.0334766	0.0611974	0.380376	0.047697
360	-2788.71	-2741.68	-47.0322	0.0360877	0.285624	0.0505164	0.0144287	50.654	19.9554	49.2778	0.00506507	0.0798839	0.0798839	0.0798839	0.0798839	0.0798839	0.0798839	0.0798839	0.0798839	0.0798839	0.332264	0.0798839	0.0798839	0.0798839	0.0798839	0.0798839	0.0798839	0.0798839	0.0798839	0.930905	2	0.093905	0.179872	0.311981	0.337728	0.170419	0.0717062	0.375269	0.0472571	0.0730991	0.390971	0.0416976
370	-2786.48	-2742.08	-44.3993	0.0628975	0.167641	0.0755654	0.0126679	44.9516	18.4871	39.2585	0.00532653	0.104004	0.104004	0.104004	0.104004	0.104004	0.104004	0.104004	0.104004	0.104004	0.340313	0.104004	0.104004	0.104004	0.104004	0.104004	0.104004	0.104004	0.104004	0.288076	2	0.117132	0.174219	0.333684	0.312643	0.179455	0.0505272	0.441245	0.0405536	0.0617789	0.335511	0.0703845
380	-2794.85	-2749.74	-45.1104	0.0174175	0.661556	0.0514634	0.0340459	46.9155	21.017	43.915	0.00584447	0.117361	0.117361	0.117361	0.117361	0.117361	0.117361	0.117361	0.117361	0.117361	0.279117	0.117361	0.117361	0.117361	0.117361	0.117361	0.117361	0.117361	0.117361	0.372717	2	0.126347	0.169837	0.35004	0.321855	0.158268	0.0462736	0.366357	0.0465272	0.107155	0.384931	0.0487557
390	-2796.74	-2749.92	-46.8264	0.028712	0.5331	0.0614949	0.0327829	55.1543	18.2921	40.363	0.00526003	0.127308	0.127308	0.127308	0.127308	0.127308	0.127308	0.127308	0.127308	0.127308	0.127308	0.127308	0.127308	0.127308	0.127308	0.127308	0.127308	0.127308	0.318712	1.03347	2	0.137941	0.178758	0.331688	0.310863	0.178691	0.0566076	0.393093	0.0402354	0.065414	0.355099	0.0895515
400	-2792.45	-2745.78	-46.667	0.0360645	0.105085	0.0402993	0.00423484	47.6812	19.8895	38.9234	0.00575034	0.0995579	0.0995579	0.0995579	0.0995579	0.0995579	0.0995579	0.0995579	0.0995579	0.0995579	0.390276	0.0995579	0.0995579	0.0995579	0.0995579	0.0995579	0.0995579	0.0995579	0.0995579	1.01599	2	0.115709	0.167196	0.335697	0.321751	0.175356	0.0522903	0.362647	0.034501	0.0991882	0.389699	0.0616743
410	-2790.47	-2743.98	-46.487	0.0663787	0.224303	0.085573	0.0191943	46.8312	18.221	40.1504	0.00528579	0.146601	0.146601	0.146601	0.146601	0.146601	0.146601	0.146601	0.146601	0.146601	0.357198	0.146601	0.146601	0.535869	0.146601	0.146601	0.146601	0.146601	0.146601	0.775467	3	0.179927	0.174896	0.336878	0.322588	0.165639	0.0714182	0.40193	0.0553122	0.0753808	0.330082	0.0658768
420	-2787.68	-2745.02	-42.6605	0.0500987	0.303813	0.0719616	0.0218629	48.8309	17.081	42.2835	0.00540258	0.141706	0.141706	0.141706	0.141706	0.141706	0.141706	0.141706	0.141706	0.141706	0.370411	0.141706	0.141706	0.141706	0.141706	0.141706	0.141706	0.141706	0.141706	0.60425	2	0.154412	0.160901	0.330643	0.333187	0.17527	0.0761434	0.372279	0.0512316	0.0698198	0.3889	0.0416261
430	-2786.25	-2742.17	-44.0769	0.0484199	0.519907	0.100855	0.0524353	50.9504	18.1832	42.3039	0.00534108	0.11268	0.11268	0.11268	0.11268	0.11268	0.11268	0.11268	0.11268	0.11268	0.354572	0.11268	0.11268	0.11268	0.11268	0.11268	0.11268	0.11268	0.11268	0.569264	2	0.126118	0.174477	0.33935	0.320644	0.165529	0.0351991	0.391954	0.0533674	0.0727305	0.404757	0.0419924
440	-2786.42	-2743.62	-42.7977	0.0387321	0.282171	0.0539573	0.0152252	46.5576	20.2563	38.8939	0.00544524	0.111049	0.111049	0.111049	0.111049	0.111049	0.111049	0.111049	0.111049	0.111049	0.342644	0.111049	0.111049	0.111049	0.111049	0.111049	0.111049	0.111049	0.111049	0.316999	2	0.123916	0.181276	0.342109	0.312237	0.164378	0.0656942	0.392636	0.0560342	0.122034	0.319511	0.0440907
450	-2789.56	-2746.43	-43.1351	0.0576725	0.586999	0.139642	0.08197	45.7728	17.9191	36.8924	0.00527689	0.124916	0.124916	0.124916	0.124916	0.124916	0.124916	0.124916	0.124916	0.124916	0.476418	0.124916	0.124916	0.124916	0.124916	0.124916	0.124916	0.124916	0.124916	0.387652	2	0.144444	0.178436	0.326087	0.309013	0.186465	0.0581607	0.465114	0.0236306	0.056245	0.357815	0.0390346
