Iteration	Posterior	Likelihood	Prior	sf[0]	sf[1]	sf[2]	sf[3]	er[0]	er[1]	er[2]	er[3]	er[4]	er[5]	gamma_rates[0]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	shape	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	tree_length
290	-9882.19	-9894.16	11.9681	0.282076	0.186981	0.234301	0.296643	0.119287	0.278302	0.0546504	0.0540766	0.407691	0.0859928	0.0733158	0.361596	0.923345	2.64174	0.695915	0.00746099	0.0337506	0.0306921	0.019427	0.0627971	0.043234	0.487923	0.01154	0.00749517	0.0442203	0.00828473	0.0164454	0.0104387	0.00844486	0.0336598	0.825814
300	-9888.82	-9900.82	12.0069	0.295559	0.187199	0.235505	0.281737	0.108981	0.22767	0.0553336	0.0494044	0.490216	0.0683949	0.0625955	0.336609	0.902842	2.69795	0.645441	0.00936978	0.0400867	0.0329201	0.0197467	0.0679516	0.045217	0.471462	0.00910739	0.00800351	0.030262	0.00869109	0.0200956	0.0188529	0.00448567	0.0359297	0.822182
310	-9885.38	-9896.43	11.053	0.304105	0.177466	0.226686	0.291743	0.101698	0.249888	0.0516356	0.0765403	0.456415	0.063824	0.0617343	0.334494	0.901035	2.70274	0.641355	0.0114193	0.036049	0.0350893	0.0221472	0.0621458	0.0347709	0.577628	0.00820569	0.00954056	0.0388224	0.00805467	0.0195715	0.0188529	0.00650652	0.028796	0.917599
320	-9885.59	-9896.71	11.1186	0.293896	0.197545	0.229194	0.279364	0.120491	0.263651	0.0593638	0.0655229	0.430738	0.0602334	0.0548959	0.317044	0.885666	2.74239	0.608645	0.00907801	0.0310234	0.0414198	0.0221472	0.0598457	0.0443826	0.562638	0.0117797	0.00937419	0.0327267	0.0114553	0.0201267	0.0177057	0.00889109	0.0286055	0.9112
330	-9884.77	-9895.57	10.8033	0.286397	0.192504	0.232158	0.28894	0.12177	0.275225	0.0577387	0.0637291	0.402184	0.0793538	0.047453	0.296528	0.86651	2.78951	0.572315	0.0128918	0.034675	0.0441546	0.0212125	0.0598457	0.0418213	0.587719	0.012655	0.0104488	0.0384383	0.00780429	0.0119875	0.0249375	0.00889109	0.025428	0.942911
340	-9887.08	-9898.18	11.1017	0.287458	0.193218	0.226167	0.293157	0.116702	0.306645	0.0557516	0.0508022	0.393471	0.0766283	0.0487882	0.30034	0.870162	2.78071	0.578904	0.00900626	0.0348837	0.0294871	0.0220056	0.0701847	0.0483811	0.560411	0.0136509	0.0102305	0.0353959	0.00593207	0.013894	0.0210496	0.0093501	0.029174	0.913037
350	-9885.95	-9897.34	11.3864	0.280709	0.1969	0.225593	0.296799	0.112191	0.260597	0.0436048	0.0638293	0.447756	0.0720222	0.0779819	0.371784	0.931271	2.61896	0.717745	0.00953599	0.0286775	0.0348001	0.0248316	0.0599379	0.0380775	0.559226	0.00845809	0.00964471	0.0349213	0.00575906	0.0192279	0.0246814	0.00626984	0.0198292	0.883878
360	-9891.86	-9902.9	11.0423	0.292166	0.183928	0.239451	0.284455	0.112163	0.26616	0.0456013	0.0638133	0.447644	0.0646194	0.0499061	0.303485	0.873143	2.77347	0.584394	0.0144038	0.03249	0.040314	0.0180214	0.0579935	0.0309147	0.5872	0.01279	0.00739692	0.0376856	0.00660255	0.0242284	0.0276834	0.00273122	0.0184976	0.918953
370	-9895.34	-9906.19	10.8535	0.285778	0.186452	0.244024	0.283746	0.115617	0.270097	0.0512608	0.0642755	0.431144	0.0676053	0.0398312	0.273475	0.843453	2.84324	0.533906	0.0140463	0.0365659	0.0372361	0.0233588	0.0633226	0.0524575	0.58535	0.0151205	0.00739692	0.0262489	0.0130703	0.00833532	0.0276834	0.00748561	0.020403	0.938081
380	-9887.05	-9898.51	11.4661	0.299196	0.185389	0.233775	0.28164	0.120945	0.239442	0.0435317	0.0632024	0.462159	0.0707206	0.0826846	0.381684	0.938743	2.59689	0.73972	0.00902508	0.0276991	0.0375906	0.0266065	0.05924	0.0381081	0.523542	0.00915369	0.0112432	0.0355342	0.0123441	0.0245874	0.0245975	0.0089258	0.0275976	0.875795
390	-9880.74	-9892.3	11.5614	0.29387	0.19084	0.22844	0.28685	0.116816	0.258311	0.0469623	0.0650281	0.438014	0.0748681	0.0712059	0.356861	0.919577	2.65236	0.686024	0.00857982	0.0260255	0.0386587	0.0234745	0.0616768	0.0420565	0.53575	0.0096989	0.00605197	0.0353016	0.0111395	0.0143371	0.0157373	0.00511941	0.0329253	0.866532
400	-9891.66	-9902.81	11.1518	0.296355	0.176097	0.237922	0.289627	0.122425	0.231982	0.0502162	0.0365011	0.485776	0.0730997	0.0445585	0.288045	0.858222	2.80917	0.557902	0.0146598	0.0279082	0.0393327	0.0233684	0.0616768	0.0497147	0.550516	0.0134136	0.00552051	0.0338141	0.00969397	0.0264926	0.0122104	0.00498643	0.0348224	0.908131
410	-9883.76	-9895.23	11.4656	0.27661	0.175002	0.247321	0.301068	0.122145	0.247874	0.0501014	0.0547591	0.452188	0.0729327	0.0657511	0.344214	0.909247	2.68079	0.660366	0.0131929	0.0368377	0.036761	0.0233752	0.0595882	0.0516624	0.528389	0.00813779	0.0073212	0.0316853	0.00850062	0.0203331	0.0174362	0.00498643	0.0280321	0.876239
420	-9889.31	-9901.06	11.751	0.302318	0.182235	0.227134	0.288313	0.109642	0.275156	0.0614652	0.0710082	0.418709	0.0640197	0.0644004	0.340986	0.906546	2.68807	0.653987	0.00976429	0.0385614	0.0400712	0.0235167	0.0671899	0.0440876	0.500691	0.0104154	0.00665489	0.0375833	0.00368505	0.0165224	0.0240741	0.00856472	0.0163509	0.847733
430	-9884.8	-9896.29	11.4915	0.285866	0.196087	0.228772	0.289275	0.109045	0.273862	0.0527586	0.0609499	0.41442	0.0889643	0.0998698	0.415179	0.962424	2.52253	0.820297	0.00883901	0.035327	0.0358087	0.0251405	0.0673588	0.0456877	0.526239	0.0139199	0.0069544	0.0305218	0.00659232	0.0182064	0.0240741	0.0052588	0.022929	0.872857
440	-9889.99	-9900.56	10.5748	0.296216	0.186624	0.241845	0.275315	0.0967468	0.275131	0.0503337	0.0612323	0.42718	0.0893764	0.0456549	0.291295	0.861423	2.80163	0.563384	0.0136967	0.0342818	0.04814	0.0228645	0.0615006	0.0473675	0.589335	0.0142627	0.00857072	0.0406387	0.00609492	0.0213152	0.0240741	0.00758683	0.0260752	0.965804
450	-9888.98	-9900.03	11.0511	0.285215	0.182919	0.242287	0.289579	0.124322	0.268327	0.0535308	0.0597181	0.407275	0.0868274	0.051116	0.306843	0.876294	2.76575	0.590311	0.0111387	0.0340618	0.040455	0.0296181	0.065295	0.0572021	0.531128	0.010109	0.00888358	0.0340619	0.00911002	0.020958	0.0225167	0.00866669	0.0348388	0.918043
460	-9893.62	-9904.93	11.3027	0.278125	0.197878	0.241617	0.28238	0.120796	0.224817	0.0493581	0.0659958	0.462576	0.0764571	0.0701985	0.35457	0.917735	2.6575	0.681297	0.0114265	0.0276571	0.0429597	0.0258024	0.0620329	0.0467935	0.550035	0.00800814	0.00753376	0.027382	0.00788143	0.0115173	0.0161621	0.00635065	0.0408893	0.892432
470	-9886.73	-9898.57	11.8381	0.297251	0.199632	0.226228	0.276889	0.109476	0.261034	0.0545039	0.0627187	0.439606	0.0726606	0.0646663	0.341625	0.907083	2.68663	0.655244	0.0150204	0.0280437	0.0364582	0.018313	0.056425	0.0351294	0.515796	0.00899067	0.0106045	0.0401432	0.00881225	0.0157921	0.0114636	0.0041303	0.0338966	0.839019
480	-9885.07	-9896.51	11.4452	0.29584	0.184565	0.233191	0.286404	0.134834	0.258581	0.0524137	0.0513711	0.431482	0.0713178	0.0705655	0.355407	0.91841	2.65562	0.68302	0.0116116	0.0352871	0.0423376	0.0195305	0.0639119	0.0410393	0.514637	0.0123857	0.0102684	0.0418698	0.00514888	0.0237781	0.00952167	0.00837615	0.0384616	0.878165
490	-9887.2	-9898.94	11.7337	0.279683	0.182413	0.243944	0.29396	0.133807	0.256613	0.0520146	0.05098	0.43581	0.0707748	0.0586146	0.326683	0.894257	2.72045	0.626495	0.014359	0.0359427	0.0389641	0.0196597	0.0581523	0.0364137	0.518754	0.00790664	0.0102684	0.033707	0.0114507	0.0157687	0.00706366	0.00131431	0.0398789	0.849604
