Iteration	Posterior	Likelihood	Prior	birth_rate
3440	-56.1551	-55.4085	-0.74653	0.106766
3450	-56.2161	-55.4687	-0.747343	0.108392
3460	-56.2507	-55.5029	-0.747768	0.109241
3470	-56.2292	-55.4944	-0.73479	0.083286
3480	-56.7097	-55.9575	-0.75213	0.117965
3490	-55.9501	-55.2099	-0.740202	0.0941104
3500	-56.1646	-55.4179	-0.746663	0.107032
3510	-56.3028	-55.5687	-0.734079	0.0818635
3520	-57.6051	-56.847	-0.758125	0.129956
3530	-57.8853	-57.1594	-0.725904	0.0655132
3540	-56.1515	-55.4159	-0.735661	0.0850269
3550	-56.0521	-55.3073	-0.744845	0.103396
3560	-55.9474	-55.2068	-0.740611	0.0949279
3570	-57.8277	-57.0683	-0.759392	0.132489
3580	-58.0072	-57.2468	-0.760372	0.13445
3590	-57.8328	-57.0734	-0.75942	0.132546
3600	-57.6423	-56.884	-0.758341	0.130388
3610	-55.9516	-55.2116	-0.740056	0.0938174
3620	-56.1209	-55.3749	-0.746026	0.105758
3630	-55.9914	-55.248	-0.743427	0.100559
3640	-55.9537	-55.2119	-0.741849	0.0974038
3650	-56.6	-55.8488	-0.751226	0.116158
3660	-55.9619	-55.2196	-0.742337	0.0983805
3670	-56.1281	-55.3921	-0.735957	0.0856204
3680	-56.6584	-55.927	-0.731447	0.0766005
3690	-57.3255	-56.5691	-0.756437	0.12658
3700	-55.9472	-55.2061	-0.741023	0.0957518
3710	-55.9885	-55.2451	-0.743338	0.100382
3720	-56.0468	-55.3021	-0.74474	0.103185
3730	-56.4072	-55.6741	-0.733195	0.0800965
3740	-56.1413	-55.395	-0.746332	0.10637
3750	-56.4899	-55.7396	-0.750251	0.114207
3760	-55.9902	-55.2468	-0.743389	0.100483
3770	-56.0657	-55.3288	-0.736866	0.0874382
3780	-56.1296	-55.3835	-0.746159	0.106023
3790	-56.2235	-55.4886	-0.73485	0.0834053
3800	-56.0136	-55.2696	-0.744015	0.101735
3810	-55.9624	-55.2201	-0.742363	0.098431
3820	-56.3417	-55.6079	-0.733735	0.0811763
3830	-56.9463	-56.1924	-0.753911	0.121527
3840	-56.0433	-55.2986	-0.744668	0.103043
3850	-56.0273	-55.2897	-0.737559	0.0888245
3860	-56.1553	-55.4197	-0.735614	0.0849342
3870	-55.9869	-55.2436	-0.74329	0.100286
3880	-56.7829	-56.0302	-0.752702	0.119111
3890	-57.036	-56.3066	-0.729381	0.0724675
3900	-57.4032	-56.6463	-0.756919	0.127543
3910	-55.9482	-55.2069	-0.741276	0.0962586
3920	-56.5488	-55.798	-0.750782	0.11527
3930	-55.9496	-55.2081	-0.741472	0.0966499
3940	-56.6873	-55.9354	-0.75195	0.117606
3950	-57.2715	-56.5154	-0.756096	0.125897
3960	-56.2242	-55.4768	-0.747445	0.108597
3970	-58.9268	-58.2041	-0.722701	0.0591074
3980	-56.1054	-55.3596	-0.745782	0.10527
3990	-56.0094	-55.2654	-0.74391	0.101526
