Iteration	Posterior	Likelihood	Prior	sf[1]	sf[2]	sf[3]	sf[4]	diversification	turnover	birth_rate	death_rate	root_time	tmrca_Ursidae	base_rate	tmrca_UrsidaePinn	clock_rate	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]
350	-2796.23	-2755.59	-40.6412	0.188723	0.32729	0.328464	0.155523	0.0604559	0.101562	0.06729	0.0068341	54.3949	16.909	0.00566248	35.1842	0.173343	0.0460315	0.337879	0.0217638	0.0871202	0.476296	0.0309094
360	-2795.82	-2750.19	-45.6326	0.172133	0.323909	0.324303	0.179656	0.0224531	0.489525	0.0439847	0.0215316	63.9914	17.556	0.00518589	36.3959	0.16269	0.116779	0.377527	0.0305071	0.0737247	0.35357	0.0478932
370	-2797.19	-2755.01	-42.1808	0.183761	0.31383	0.325741	0.176668	0.0105063	0.849479	0.0697998	0.0592935	58.0894	14.6949	0.00542316	35.0476	0.163872	0.0706611	0.335841	0.0438979	0.0727253	0.419127	0.0577478
380	-2793.23	-2748.44	-44.7901	0.173712	0.312737	0.342033	0.171518	0.0304701	0.379456	0.0491022	0.0186321	63.1349	18.2148	0.00563711	35.0761	0.154691	0.0601544	0.351288	0.0211569	0.0799807	0.438406	0.0490134
390	-2794.57	-2756.3	-38.2706	0.192342	0.305206	0.340302	0.162149	0.0366453	0.439141	0.0653378	0.0286925	53.3056	16.3239	0.00554592	33.9035	0.161679	0.0577044	0.380829	0.0202952	0.0616441	0.42055	0.0589771
400	-2792.13	-2745.09	-47.0477	0.177686	0.322097	0.327099	0.173118	0.0495466	0.45771	0.0913654	0.0418189	64.9409	18.5416	0.00576635	34.3601	0.13782	0.0630968	0.399181	0.0522513	0.0865207	0.334462	0.0644884
410	-2795.89	-2747.08	-48.8085	0.165307	0.336678	0.335964	0.162051	0.0289152	0.614484	0.0750037	0.0460886	69.0382	17.415	0.00556283	37.0512	0.124775	0.0463665	0.397551	0.0763255	0.0788635	0.355868	0.0450256
420	-2795.27	-2752.03	-43.239	0.180424	0.323197	0.334786	0.161593	0.0781304	0.15783	0.0927727	0.0146423	55.8556	16.9031	0.00589833	34.4887	0.165449	0.0786005	0.359673	0.0557957	0.0584352	0.402603	0.044893
430	-2796.49	-2754.22	-42.272	0.185028	0.332816	0.298108	0.184048	0.0368173	0.751271	0.148022	0.111205	56.414	16.4696	0.0048626	36.4772	0.200698	0.0608207	0.343481	0.050108	0.0895161	0.384479	0.0715948
440	-2794.59	-2748.1	-46.4863	0.18604	0.325329	0.312243	0.176388	0.0296026	0.4305	0.0519801	0.0223774	62.7951	16.6205	0.00596741	34.9454	0.141568	0.0486222	0.413586	0.0400581	0.0660601	0.374439	0.0572354
450	-2796.07	-2753.94	-42.1303	0.169007	0.337513	0.312898	0.180582	0.0354074	0.332985	0.0530834	0.017676	58.6	20.4915	0.00517526	39.54	0.160842	0.0950965	0.356483	0.0568201	0.0886973	0.338701	0.0642028
460	-2796.01	-2747.74	-48.2636	0.19059	0.316754	0.339488	0.153168	0.0432607	0.451152	0.0788208	0.0355602	68.0358	17.0788	0.0053747	38.1554	0.145248	0.0945919	0.357822	0.0476208	0.0777453	0.365945	0.0562752
470	-2797.87	-2754.81	-43.0575	0.185699	0.330585	0.311938	0.171779	0.0428358	0.488252	0.083705	0.0408692	59.7276	16.9806	0.00515122	34.146	0.167206	0.0840697	0.348901	0.0502034	0.0819616	0.375537	0.0593272
