Iteration	Posterior	Likelihood	Prior	ucln_sigma	tmrca_UrsidaePinn	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	sf[1]	sf[2]	sf[3]	sf[4]	ucln_mean	base_rate	root_time	diversification	turnover	death_rate	birth_rate	mean_rt	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	tmrca_Ursidae
220	-2758.82	-2745.27	-13.5483	0.434658	37.8957	0.0925753	0.305884	0.197222	0.134836	0.176191	0.0624075	0.123747	0.0614744	0.151613	0.34725	0.132832	0.170572	0.11714	0.0922474	0.0688116	0.158672	0.182359	0.0961312	0.190346	0.309625	0.337212	0.162816	0.155453	0.00539086	47.4369	0.0414634	0.554867	0.0516849	0.0931483	0.148443	0.0500237	0.409452	0.0575152	0.0622945	0.351957	0.0687578	19.8727
230	-2757.32	-2742.74	-14.5755	0.430938	44.3681	0.0606545	0.102221	0.101311	0.204388	0.139897	0.0660313	0.133231	0.0878541	0.164435	0.344772	0.066187	0.102329	0.0797889	0.0844798	0.0679661	0.106487	0.0789335	0.100771	0.192246	0.313011	0.329	0.165743	0.104657	0.00545631	49.8894	0.0844065	0.720767	0.217873	0.30228	0.116208	0.0546118	0.409107	0.0561859	0.0670636	0.345863	0.0671685	18.5455
240	-2749.41	-2742.77	-6.64018	0.366625	35.8763	0.147889	0.060943	0.0725881	0.134569	0.0649345	0.121427	0.0926784	0.107323	0.123976	0.29869	0.117967	0.089863	0.11551	0.0748151	0.116486	0.0770008	0.190047	0.10385	0.163215	0.332067	0.341114	0.163604	0.119222	0.00536494	52.4146	0.0279173	0.471755	0.0249319	0.0528492	0.117253	0.0527046	0.39482	0.0424108	0.0965208	0.348721	0.0648229	21.5177
250	-2753.07	-2740.14	-12.9272	0.841134	39.846	0.0310184	0.0405056	0.059649	0.0442189	0.0621795	0.0561952	0.12512	0.0667716	0.132048	0.350316	0.153245	0.0834597	0.0355318	0.0661725	0.107758	0.0768145	0.154731	0.0875046	0.192658	0.324746	0.318998	0.163597	0.118006	0.00529562	50.7123	0.0561796	0.602466	0.0851405	0.14132	0.0962911	0.0725039	0.377684	0.0513566	0.0669801	0.376095	0.0553807	22.8399
260	-2765.32	-2741.81	-23.5071	1.09406	35.214	0.0393722	0.11248	0.0390987	0.172056	0.0695263	0.0555059	0.243775	0.101221	0.219663	0.311128	0.113751	0.0633057	0.195758	0.0174016	0.460928	0.0608368	0.199784	0.213617	0.173348	0.323726	0.332463	0.170462	0.168424	0.00541723	49.7012	0.0329537	0.249254	0.0109409	0.0438946	0.1494	0.0636892	0.362458	0.0585811	0.0692396	0.388783	0.057249	20.5487
270	-2755.06	-2745.55	-9.51529	0.574516	50.1089	0.0531146	0.024123	0.105815	0.0704178	0.0937813	0.0645525	0.0878502	0.0564876	0.0972877	0.236687	0.130719	0.11243	0.0695595	0.0677104	0.0841769	0.0560049	0.120236	0.0799347	0.172516	0.334241	0.31464	0.178602	0.0813326	0.00567827	51.9845	0.071172	0.164053	0.0139674	0.0851394	0.0894938	0.0521425	0.412388	0.0456653	0.0903056	0.377445	0.022053	20.0549
280	-2763.74	-2743.03	-20.7124	0.679622	43.0375	0.185366	0.0632332	0.110208	0.049435	0.169999	0.175429	0.147529	0.112787	0.14091	0.317642	0.152525	0.0784165	0.0810848	0.250589	0.0905209	0.198935	0.147657	0.595894	0.176192	0.320056	0.321344	0.182408	0.157026	0.00529159	48.755	0.0177476	0.521176	0.0193174	0.037065	0.170453	0.0572998	0.433895	0.0311611	0.0992377	0.319666	0.0587408	20.7122
290	-2768.56	-2747.66	-20.8971	0.659582	41.6088	0.0675378	0.141453	0.12838	0.118955	0.158271	0.185353	0.237731	0.0689647	0.0960094	0.275215	0.113815	0.231703	0.361926	0.0385627	0.0745889	0.0556534	0.137731	0.213044	0.18209	0.32993	0.337485	0.150495	0.11796	0.00550783	52.4618	0.0554581	0.352113	0.0301404	0.0855985	0.150272	0.0300094	0.359427	0.0218137	0.0694692	0.466551	0.0527299	23.6472
300	-2764.91	-2744.5	-20.4127	0.730267	46.2327	0.0786959	0.0356719	0.259016	0.182674	0.272809	0.144522	0.31428	0.0746375	0.139952	0.307116	0.157866	0.0889258	0.275655	0.0796385	0.123303	0.0571799	0.0857873	0.117901	0.182583	0.323029	0.343327	0.151061	0.166651	0.00562422	52.4972	0.0324924	0.356998	0.01804	0.0505324	0.155313	0.03641	0.350206	0.0277718	0.0861562	0.413034	0.0864215	18.3684
310	-2751.91	-2740.58	-11.3362	0.383553	33.9143	0.0598996	0.098868	0.195003	0.127476	0.0848316	0.145992	0.123425	0.0821119	0.12834	0.263352	0.0976301	0.139507	0.0563704	0.0554923	0.0753674	0.0473359	0.153401	0.205257	0.179517	0.320748	0.340902	0.158833	0.118372	0.00542256	51.3561	0.0554864	0.090202	0.0055012	0.0609876	0.11887	0.0527713	0.356836	0.0735331	0.0850761	0.399731	0.0320519	19.2474
