Iteration	Posterior	Likelihood	Prior	turnover	diversification	birth_rate	death_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	clock_rate	sf[1]	sf[2]	sf[3]	sf[4]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]
550	-2793.1	-2747.47	-45.628	0.447387	0.0405291	0.0733408	0.0328117	65.4248	17.5153	34.767	0.0054772	0.167692	0.17654	0.333618	0.311011	0.178831	0.0599738	0.369981	0.0398113	0.073329	0.394208	0.0626975
560	-2793.59	-2752.57	-41.0255	0.578964	0.0499096	0.11854	0.0686303	57.5346	16.2738	33.9311	0.00556014	0.173582	0.190656	0.325653	0.317369	0.166323	0.126988	0.303266	0.0255074	0.0758448	0.424484	0.0439097
570	-2799.45	-2754.56	-44.8846	0.760358	0.0481037	0.200731	0.152628	61.4387	16.6657	36.7234	0.00530123	0.164165	0.194391	0.311605	0.324422	0.169582	0.115203	0.386514	0.0653963	0.0671966	0.32691	0.0387807
580	-2797.2	-2753.42	-43.7792	0.189446	0.0680304	0.0839308	0.0159004	59.3099	16.4518	35.2716	0.00519288	0.172072	0.187535	0.329243	0.3069	0.176322	0.048343	0.383743	0.0678281	0.0696952	0.334711	0.0956794
590	-2795.17	-2751.66	-43.5143	0.547446	0.0376273	0.0831442	0.0455169	59.7467	21.2088	34.7186	0.00580066	0.155363	0.183799	0.322683	0.320708	0.172809	0.0453048	0.359626	0.0665578	0.0755116	0.394784	0.058216
600	-2803.1	-2759.76	-43.3467	0.255542	0.0944358	0.126852	0.0324159	55.7499	17.6881	34.391	0.00526143	0.163411	0.159614	0.313495	0.328398	0.198493	0.0346516	0.42535	0.0645259	0.0709063	0.375715	0.0288517
610	-2793.01	-2752.05	-40.9646	0.55397	0.0525548	0.117828	0.0652732	56.8667	16.195	34.9904	0.00553838	0.167927	0.184803	0.318234	0.321045	0.175918	0.0686261	0.412935	0.0709525	0.050856	0.340387	0.0562437
620	-2799.54	-2752.34	-47.2032	0.549858	0.035162	0.0781131	0.0429511	66.981	16.2091	37.4404	0.00539276	0.138223	0.186863	0.320654	0.324154	0.168329	0.093699	0.395842	0.047956	0.0825423	0.293914	0.0860461
630	-2796.41	-2755.15	-41.2539	0.717955	0.047672	0.169022	0.12135	56.1078	18.3052	34.5552	0.0053502	0.170442	0.187002	0.320893	0.32365	0.168454	0.0940187	0.355576	0.0289836	0.0498867	0.410125	0.0614091
640	-2798.73	-2755.97	-42.7651	0.303354	0.0741798	0.106481	0.0323015	56.2446	19.6093	35.8365	0.00519489	0.151099	0.174818	0.317292	0.330639	0.177251	0.0852596	0.370488	0.081939	0.0655425	0.336388	0.0603823
650	-2796.32	-2752.25	-44.074	0.370559	0.0512665	0.0814477	0.0301811	61.5938	15.6223	35.4015	0.00517609	0.156994	0.179215	0.321058	0.320334	0.179392	0.0917706	0.312603	0.0914318	0.0614576	0.375359	0.0673777
660	-2791.9	-2748.9	-42.9976	0.238396	0.0526112	0.0690794	0.0164683	58.9709	16.41	35.7395	0.00572858	0.16333	0.176039	0.333088	0.314658	0.176214	0.0565942	0.434441	0.0632218	0.0685982	0.325726	0.0514185
670	-2791.04	-2747.92	-43.1158	0.845802	0.0249813	0.162008	0.137027	58.5826	18.0919	35.8851	0.00519401	0.160134	0.180208	0.316004	0.327089	0.1767	0.0689559	0.328138	0.0580794	0.0931017	0.387506	0.0642187
