Iteration	Posterior	Likelihood	Prior	sf[1]	sf[2]	sf[3]	sf[4]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	death_rate	root_time	tmrca_Ursidae	birth_rate	tmrca_UrsidaePinn	base_rate	node_rates[1]	node_rates[2]	node_rates[3]	node_rates[4]	node_rates[5]	node_rates[6]	node_rates[7]	node_rates[8]	node_rates[9]	node_rates[10]	node_rates[11]	node_rates[12]	node_rates[13]	node_rates[14]	node_rates[15]	node_rates[16]	node_rates[17]	node_rates[18]	turnover	root_rate	nu	diversification
200	-2735.14	-2749.88	14.7358	0.174995	0.34724	0.313743	0.164022	0.111991	0.383204	0.0555343	0.0396573	0.370915	0.0386987	0.106009	0.000395662	0.000475503	0.000452839	0.00043022	0.000434289	0.000412674	0.000435235	0.000493849	0.000816273	0.00155953	0.000418963	0.000412872	0.000443296	0.000418875	0.000436684	0.000493727	0.00081125	0.00128373	0.0168852	49.7024	18.8149	0.0570708	35.464	0.00515877	0.0711729	0.0926585	0.083872	0.0842577	0.0858355	0.0800958	0.0816591	0.0871245	0.106283	0.317104	0.0825339	0.0798938	0.091689	0.0801724	0.082221	0.087077	0.104336	0.210178	0.295865	0.28751	1.15693	0.0401856
210	-2727.58	-2740.99	13.4172	0.190084	0.333079	0.315273	0.161564	0.0773224	0.319587	0.0296417	0.0874221	0.391638	0.0943885	0.103256	0.000452946	0.000396824	0.000466814	0.000416668	0.000390133	0.000393894	0.000393624	0.000423412	0.000912839	0.00168113	0.000404615	0.000414674	0.000422667	0.000424626	0.000418349	0.000369281	0.000733037	0.00139668	0.0491802	48.2936	19.9437	0.0883179	37.9408	0.005274	0.0912646	0.070725	0.0972665	0.0812978	0.0712352	0.072645	0.0711247	0.0986723	0.130078	0.323956	0.0767105	0.076727	0.0797581	0.080525	0.0805009	0.0781449	0.0618934	0.216088	0.556854	0.313559	1.08317	0.0391377
220	-2730.78	-2742.35	11.5629	0.192632	0.321512	0.325549	0.160307	0.0737349	0.381477	0.0183758	0.0931579	0.343245	0.0900092	0.0966789	0.000463231	0.000436225	0.000383735	0.000381535	0.000386608	0.000479443	0.000602529	0.00061359	0.000852151	0.00156196	0.000418178	0.000449098	0.000427221	0.000451396	0.000552355	0.000662147	0.000731215	0.00130464	0.0233736	47.9743	18.145	0.0644584	36.4467	0.00583869	0.0811624	0.0801925	0.0622126	0.0641751	0.0659131	0.0875026	0.0947009	0.0950583	0.156549	0.223493	0.0665168	0.076727	0.069233	0.0771083	0.077514	0.111691	0.115123	0.13535	0.362615	0.311544	1.46632	0.0410848
230	-2734.86	-2740.91	6.05543	0.18564	0.32566	0.307972	0.180728	0.0553423	0.400499	0.0843038	0.0699204	0.343338	0.0465966	0.0969167	0.000381156	0.000415507	0.000412632	0.000391085	0.000408963	0.000416795	0.000574037	0.00056894	0.000921599	0.00140891	0.000371377	0.000397922	0.000404257	0.000411407	0.000449866	0.000576862	0.000883115	0.00155162	0.0248912	49.0379	17.5449	0.0425244	35.7338	0.00541703	0.0645182	0.0798405	0.0787792	0.0785039	0.0851049	0.0826554	0.122051	0.0869615	0.137303	0.150269	0.0658868	0.0712278	0.073567	0.0756872	0.0762068	0.0898865	0.123094	0.202957	0.585339	0.36991	2.46	0.0176332
240	-2733.28	-2744.44	11.1564	0.176019	0.337047	0.318741	0.168194	0.0560153	0.405369	0.0418289	0.10211	0.347513	0.0471633	0.0905784	0.000405558	0.000409712	0.000409359	0.000434074	0.000379096	0.000422116	0.000424941	0.00042194	0.000723045	0.00154527	0.000424429	0.000450824	0.000428252	0.000442151	0.000443827	0.000485212	0.000736667	0.00126615	0.0333934	50.1226	18.5433	0.0864168	35.393	0.00565327	0.0663607	0.0727476	0.0726225	0.0835969	0.064147	0.0691503	0.0704349	0.0575155	0.0869385	0.267606	0.0699686	0.0801848	0.0721995	0.0793066	0.0771164	0.0798995	0.0917575	0.168859	0.386422	0.279075	1.30425	0.0530235
250	-2747.04	-2744.15	-2.89345	0.174459	0.323873	0.315916	0.185753	0.0972693	0.388224	0.0444124	0.0991086	0.326653	0.0443322	0.106057	0.000584049	0.000338084	0.000334135	0.000461789	0.000351608	0.000486546	0.000627884	0.000399939	0.000675502	0.00166325	0.000451417	0.000489484	0.000424371	0.00050476	0.000496303	0.000551435	0.000758247	0.00117522	0.111288	44.4728	20.8697	0.1439	37.5462	0.00529561	0.123441	0.0609072	0.0594159	0.0952859	0.0536734	0.092386	0.146833	0.0330858	0.0867094	0.352722	0.0791188	0.0913687	0.0667774	0.0934956	0.097138	0.0903015	0.11796	0.168409	0.773369	0.27544	1.50911	0.0326121
260	-2748.43	-2744.83	-3.60656	0.178428	0.335381	0.319604	0.166587	0.0935497	0.373379	0.0651191	0.0953188	0.335265	0.0373683	0.113958	0.000475927	0.000457122	0.00050867	0.000466997	0.000608282	0.000543374	0.000614339	0.000576158	0.0012236	0.00142343	0.000521242	0.000485441	0.000462059	0.000439969	0.000595576	0.000809897	0.0010435	0.00142343	0.0352123	47.8306	19.664	0.107051	34.1373	0.00569118	0.0954301	0.0810587	0.099174	0.0687377	0.118388	0.103153	0.0784141	0.0553367	0.210429	0.219567	0.0953748	0.0878006	0.0795835	0.0827938	0.0718207	0.137477	0.147137	0.219569	0.32893	0.280655	3.08516	0.0718387
270	-2739.84	-2746.7	6.86685	0.186623	0.343891	0.296802	0.172685	0.0832278	0.375772	0.0524766	0.0619875	0.315525	0.111012	0.0994989	0.0003839	0.000351112	0.000334512	0.00040596	0.000451403	0.000351658	0.000379474	0.000428066	0.000717794	0.001634	0.000397422	0.000393338	0.000387214	0.000390173	0.000373651	0.000383466	0.000644444	0.000929229	0.103286	48.0296	18.2702	0.146752	46.8477	0.00531026	0.0717342	0.0604995	0.0542475	0.0772618	0.0943768	0.058399	0.075047	0.0846718	0.104176	0.431604	0.0756349	0.074046	0.0717397	0.0740967	0.0728539	0.0678743	0.0765505	0.166166	0.703815	0.183809	2.5577	0.0434657
280	-2728.79	-2740.15	11.3589	0.18918	0.329124	0.315875	0.165821	0.0886033	0.334044	0.0356319	0.087702	0.366373	0.0876458	0.0961573	0.000477312	0.000396875	0.000392799	0.000406333	0.000375742	0.000403668	0.000581522	0.0004725	0.00064913	0.0014256	0.00039292	0.000399704	0.000406913	0.000421204	0.000453628	0.000530845	0.000717248	0.000968762	0.11925	53.9833	20.966	0.165656	38.817	0.00559058	0.0928306	0.0691669	0.0677086	0.0750322	0.0640886	0.0741759	0.123679	0.0634852	0.0811804	0.314473	0.0703312	0.070234	0.0728131	0.072758	0.0779254	0.0843576	0.105549	0.151042	0.71987	0.195527	0.965311	0.046405
290	-2736.44	-2739.42	2.97784	0.163968	0.338108	0.322353	0.17557	0.0720575	0.367703	0.0519817	0.0897442	0.374905	0.0436092	0.102603	0.000298594	0.000465686	0.000418919	0.000366452	0.000338071	0.000432778	0.000606473	0.000372223	0.00094517	0.00160189	0.000363927	0.000378178	0.000392438	0.00036632	0.000417032	0.000481774	0.000720845	0.00114937	0.0245109	51.2004	19.315	0.0493284	38.4961	0.0054014	0.045151	0.09735	0.0800331	0.0707364	0.0602277	0.090445	0.135556	0.0484415	0.172445	0.345082	0.0649513	0.0698014	0.0750817	0.0702281	0.0654107	0.0890055	0.0893831	0.177528	0.496893	0.248056	2.70753	0.0248174
