Iteration	Posterior	Likelihood	Prior	n_cats	base_rate	mean_rt	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	sf[1]	sf[2]	sf[3]	sf[4]	birth_rate	diversification	turnover	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	concentration	death_rate	root_time	tmrca_UrsidaePinn	tmrca_Ursidae
220	-2842.11	-2779.09	-63.0191	3	0.00587404	0.0972535	0.163972	0.0325188	0.0325188	0.0325188	0.289474	0.163972	0.0325188	0.0325188	0.0325188	0.289474	0.0325188	0.0325188	0.0325188	0.0325188	0.0325188	0.0325188	0.289474	0.163972	0.153475	0.339615	0.338157	0.168753	0.0436877	0.0388362	0.11105	0.0284908	0.428743	0.0715331	0.0825201	0.336899	0.0518142	0.753479	0.00485153	50.1936	34.7089	21.7151
230	-2836.23	-2775.14	-61.0852	3	0.00548918	0.0981357	0.203409	0.0193051	0.0193051	0.0193051	0.203409	0.203409	0.0193051	0.0193051	0.0193051	0.203409	0.0193051	0.0193051	0.0193051	0.0193051	0.0193051	0.0193051	0.203409	0.517737	0.158987	0.330529	0.325564	0.18492	0.0771941	0.0546936	0.29148	0.0633144	0.387675	0.062524	0.0795136	0.349408	0.0575651	0.753479	0.0225005	50.3989	34.1196	23.2647
240	-2834.37	-2767.14	-67.2347	3	0.004892	0.107152	0.166517	0.0238598	0.0238598	0.0238598	0.166517	0.327347	0.0238598	0.0238598	0.0238598	0.327347	0.0238598	0.0238598	0.0238598	0.0238598	0.0238598	0.0238598	0.327347	0.327347	0.182237	0.317967	0.330868	0.168928	0.124843	0.062158	0.502111	0.0599866	0.351129	0.0689419	0.0525587	0.408354	0.0590299	0.753479	0.0626851	46.6093	35.9822	21.2665
250	-2836.59	-2775.21	-61.3881	3	0.00493268	0.119598	0.225555	0.0373069	0.0373069	0.0373069	0.577311	0.225555	0.0373069	0.0373069	0.0373069	0.225555	0.0373069	0.0373069	0.0373069	0.0373069	0.0373069	0.0373069	0.225555	0.225555	0.180947	0.331251	0.311816	0.175986	0.0307992	0.0230153	0.252728	0.0371989	0.338346	0.0571759	0.0656672	0.427405	0.0742071	0.753479	0.00778381	53.2267	36.8268	20.026
260	-2835.51	-2771.63	-63.8777	4	0.00526882	0.118119	0.149016	0.0288233	0.0288233	0.0288233	0.43171	0.168055	0.0288233	0.0288233	0.0288233	0.43171	0.0288233	0.0288233	0.43171	0.0288233	0.0288233	0.0288233	0.168055	0.0288233	0.173561	0.311542	0.33815	0.176747	0.0499018	0.0285725	0.427426	0.0468982	0.408498	0.0805634	0.0663058	0.327315	0.0704202	0.753479	0.0213293	43.7577	34.8822	16.4963
270	-2833.3	-2769.08	-64.2222	4	0.00557348	0.0822845	0.120594	0.0251255	0.0251255	0.0251255	0.120594	0.120594	0.0251255	0.0251255	0.0251255	0.368451	0.0251255	0.120594	0.0251255	0.0251255	0.0251255	0.0251255	0.233319	0.120594	0.171935	0.34077	0.323935	0.16336	0.050871	0.0323768	0.363551	0.0651459	0.30754	0.0777334	0.0639767	0.417657	0.0679465	0.753479	0.0184942	44.0143	36.72	19.7289
280	-2841.62	-2774.94	-66.6794	4	0.00590192	0.0876406	0.117499	0.0214947	0.117499	0.0214947	0.117499	0.207649	0.0214947	0.0214947	0.0214947	0.207649	0.0214947	0.0214947	0.0214947	0.0214947	0.0214947	0.0214947	0.117499	0.455797	0.17612	0.338877	0.309673	0.175329	0.0510543	0.0463937	0.0912872	0.069435	0.38898	0.0726976	0.0583459	0.358429	0.0521132	0.753479	0.00466061	50.0525	38.5812	24.6515
290	-2835.59	-2774.72	-60.8716	4	0.00528497	0.0913648	0.226737	0.0215759	0.0215759	0.0215759	0.226737	0.325942	0.0215759	0.0215759	0.0215759	0.357927	0.0215759	0.0215759	0.0215759	0.0215759	0.0215759	0.0215759	0.226737	0.0215759	0.172239	0.336075	0.306901	0.184786	0.0608969	0.0535781	0.120183	0.0744649	0.412155	0.0628965	0.0504796	0.361208	0.0387962	0.753479	0.0073188	44.7561	36.6953	22.2974
300	-2836.93	-2771.68	-65.2496	3	0.00570793	0.0823721	0.135088	0.0215021	0.0215021	0.0215021	0.135088	0.135088	0.0215021	0.0215021	0.0215021	0.273137	0.0215021	0.0215021	0.0215021	0.0215021	0.273137	0.0215021	0.273137	0.0215021	0.175272	0.325293	0.307079	0.192356	0.0365389	0.0323543	0.114524	0.0753239	0.398402	0.0513233	0.0865981	0.357475	0.0308783	0.753479	0.00418457	52.9729	36.2133	23.3396
310	-2835.12	-2772.05	-63.0737	3	0.00524178	0.0742401	0.142637	0.0200031	0.0200031	0.0200031	0.142637	0.142637	0.0200031	0.0200031	0.0200031	0.324186	0.0200031	0.0200031	0.0200031	0.0200031	0.0200031	0.0200031	0.324186	0.0200031	0.170735	0.308248	0.343941	0.177076	0.0235595	0.0215903	0.0835849	0.0625675	0.33093	0.0878619	0.0808025	0.397217	0.040621	0.753479	0.00196922	48.0375	42.4058	25.7585
320	-2835.43	-2772.81	-62.6114	3	0.00535452	0.0733121	0.1511	0.0222285	0.0222285	0.0222285	0.1511	0.1511	0.0222285	0.0222285	0.0222285	0.297378	0.0222285	0.0222285	0.0222285	0.0222285	0.0222285	0.0222285	0.1511	0.1511	0.181591	0.347267	0.322358	0.148784	0.0420999	0.0337368	0.198648	0.0512316	0.402902	0.112521	0.0648419	0.323068	0.0454358	0.753479	0.00836307	54.7454	37.4536	20.9495
330	-2844.68	-2776.52	-68.1633	4	0.00592859	0.136468	0.133341	0.0211911	0.0211911	0.0211911	0.133341	0.133341	0.0211911	0.0211911	0.0211911	0.133341	0.0211911	0.133341	0.91304	0.0211911	0.0211911	0.0211911	0.133341	0.531425	0.186579	0.308889	0.336665	0.167868	0.034021	0.0316507	0.0696708	0.0584359	0.291771	0.145256	0.0783564	0.390403	0.0357782	0.753479	0.00237027	50.0422	37.1736	18.802
