Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	TL
410	-5196.82	-5214.09	17.2709	0.00648465	0.00149234	0.00017569	0.000770558	0.00315281	0.000916885	0.00169165	0.000383699	0.113665	0.000710118	0.00115401	0.00075374	0.000329918	0.00192743	0.00227644	0.000974055	0.000451136	0.000648223	0.00158443	0.000865118	0.000846624	0.0028228	0.00261263	0.14669
420	-5196.44	-5213.75	17.3096	0.00425761	0.00182602	0.000511552	0.00062438	0.0020143	0.00067849	0.00222936	0.000436431	0.116098	0.00074133	0.0014944	0.000512054	0.000177814	0.000292247	0.00244838	0.000870975	0.000762208	0.000307968	0.000888958	0.00199184	0.00105013	0.00173191	0.000875241	0.142821
430	-5192.66	-5209.93	17.266	0.00438321	0.00213819	0.0012511	0.0026464	0.00225454	0.000459112	0.00205287	0.00040172	0.116098	0.000524043	0.00352838	0.000769174	0.000380521	0.000712759	0.00292046	0.000411432	0.000776369	0.00154263	0.000643185	0.000379384	0.00101842	0.0009767	0.000920675	0.147189
440	-5195.4	-5212.78	17.3841	0.00446572	0.000941003	0.00193582	0.00121925	0.00221356	0.00023163	0.00162768	0.000391436	0.107108	0.000560463	0.00176388	0.00138482	0.000644833	0.000439686	0.00239865	0.000291595	0.000910263	0.000950733	0.000386557	0.000725206	0.00297422	0.00101465	0.000793357	0.135373
450	-5202.28	-5219.52	17.2433	0.00574034	0.000441631	0.00203961	0.00130364	0.00145278	0.000210429	0.00140229	0.000364542	0.115816	0.000150784	0.00332717	0.00163258	0.00141607	0.00110295	0.00118606	0.00104302	0.00220842	0.00124716	0.000157075	0.00135845	0.00167652	0.00100352	0.00317853	0.149459
460	-5203.82	-5220.95	17.1309	0.00592591	0.00119366	0.000876684	0.0018048	0.00194991	0.000744425	0.00252627	0.000487102	0.122614	0.000221556	0.00343515	0.0025052	0.00185683	0.000949481	0.00159945	0.000689564	0.0025524	0.000340065	0.000538074	0.00093533	0.00356507	0.00128001	0.00210122	0.160692
470	-5203.52	-5220.82	17.3053	0.00485128	0.000851885	0.00174362	0.00114938	0.00214908	0.000614321	0.00261711	0.000179963	0.107027	0.00044214	0.00372054	0.00107822	0.00321993	0.00142416	0.00174259	0.00267737	0.00121858	0.000612799	0.00108194	0.00190363	0.000987063	0.00102616	0.000933826	0.143253
480	-5204.37	-5221.44	17.0713	0.00788584	0.000983589	0.0027871	0.00177766	0.00370716	0.000289931	0.00201638	0.000498056	0.124984	0.000748255	0.00374277	0.00109824	0.00295678	0.00171237	0.0039554	0.0014637	0.00111142	0.000238634	0.000942999	0.00078942	0.00119328	0.000460193	0.00130662	0.16665
490	-5205	-5222.17	17.1653	0.00467261	0.00271583	0.00127977	0.00442623	0.00320403	0.000316654	0.00445681	0.000722246	0.113461	0.000177488	0.00326671	0.00156407	0.00182158	0.000775334	0.00393464	0.00152301	0.00138724	0.00101233	0.000370817	0.000405035	0.00209851	0.00181282	0.00184647	0.157251
500	-5199.71	-5216.76	17.0495	0.00556038	0.00155368	0.0011977	0.00244949	0.00224742	0.00016721	0.00391965	0.000750744	0.133151	0.000119314	0.00220652	0.000760475	0.000645461	0.000535387	0.00201102	0.00200393	0.0013364	0.00061141	0.0008657	0.00157113	0.00221847	0.00104551	0.00190208	0.168831
510	-5190.84	-5208.08	17.2395	0.00544227	0.0021088	0.00131948	0.00189564	0.00281068	0.000109934	0.00249992	0.000408235	0.115102	0.00028631	0.00376779	0.000779861	0.000508426	0.000477502	0.00320203	0.000896419	0.000522172	0.00076467	0.00193354	0.000561438	0.00133501	0.00110034	0.00200252	0.149835
520	-5194.99	-5212.25	17.2539	0.00661555	0.00225347	0.0013481	0.000954122	0.000979164	0.000231047	0.00354662	0.000241099	0.115102	0.000555103	0.00252473	0.000673332	0.000704004	0.000961812	0.00237044	0.00077088	0.00112192	0.0010969	0.000614994	0.00104454	0.000241611	0.00241144	0.00203037	0.148393
530	-5199.07	-5216.29	17.2234	0.00577748	0.00111631	0.00233311	0.00530698	0.00152999	0.000123679	0.00225003	0.000213918	0.115102	0.000781847	0.000964552	0.000652691	0.000697565	0.00156919	0.00307199	0.000494718	0.00043264	0.000766931	0.00189558	0.00199434	0.000786387	0.00233488	0.0012497	0.151447
540	-5200.05	-5217.22	17.1724	0.00485524	0.00163253	0.00143939	0.00497855	0.00328202	0.000575229	0.0012869	0.000159619	0.115102	0.000538227	0.00256858	0.000423055	0.000832987	0.00251532	0.00252386	3.26408e-05	0.000432819	0.00156729	0.000904256	0.00247164	0.00173138	0.0030972	0.00359805	0.156549
550	-5191.32	-5208.57	17.2526	0.00516375	0.00109508	0.00151626	0.0023347	0.00292882	0.000787113	0.00150205	0.000154356	0.115102	0.000301628	0.00187107	0.000725745	0.00106238	0.001351	0.00195264	1.85455e-05	0.000735055	0.00191124	0.000807905	0.00172034	0.00188438	0.00138327	0.00221483	0.148524
560	-5196.54	-5213.9	17.3571	0.00593139	0.00149801	0.000840206	0.00135137	0.00378771	0.000383015	0.000929042	0.000655369	0.103522	0.000298217	0.000771899	0.000222929	0.000921129	0.00293566	0.00349961	1.84867e-05	0.00187326	0.00138909	0.00107941	0.00147931	0.000813727	0.00172575	0.00214289	0.13807
570	-5191.38	-5208.56	17.1796	0.00547616	0.00214048	0.000544981	0.00186468	0.00283946	0.000256454	0.00234809	0.000245467	0.121069	0.000362842	0.00257136	0.000259025	0.000844291	0.00185958	0.00244179	1.16813e-05	0.00157282	0.000792846	0.00161338	0.000851135	0.000600407	0.00394622	0.00131022	0.155822
580	-5190.53	-5207.73	17.1998	0.00572854	0.000973101	0.000828844	0.00117411	0.00287537	0.00046809	0.00219837	0.00015796	0.118665	0.000267441	0.0024601	0.000201254	0.00171465	0.00156007	0.00293551	1.03709e-05	0.000626359	0.000372249	0.00226271	0.00163987	0.00112767	0.00353673	0.00201947	0.153804
590	-5192.9	-5210.1	17.203	0.0062208	0.00140244	0.00232762	0.000641951	0.0014927	0.000420942	0.00221633	0.000237504	0.117925	7.11797e-05	0.00221055	0.000132374	0.00130176	0.00173419	0.00317381	9.32648e-06	0.00122761	0.000973644	0.000849947	0.00212442	0.00131322	0.00332674	0.00214829	0.153482
600	-5197.66	-5214.74	17.0713	0.00714889	0.00206988	0.00302149	0.00245752	0.00211747	0.000553214	0.00182096	0.000128751	0.124499	3.31652e-05	0.00431587	4.05168e-05	0.00144506	0.00139513	0.00231705	7.52882e-06	0.000375768	0.00198757	0.0046036	0.000417475	0.001181	0.00223009	0.00248396	0.166651
