Iteration	Posterior	Likelihood	Prior	dp	glr[1]	glr[2]	csf[1]	csf[2]	csf[3]
1130	-50.7009	-55.0437	4.34289	0.102562	0.115698	0.107542	0.612479	0.204996	0.182526
1140	-52.3547	-54.0748	1.72014	0.198734	0.298259	0.0910833	0.483268	0.390633	0.126099
1150	-51.6017	-55.3756	3.77394	0.104338	0.133597	0.144761	0.36349	0.227613	0.408897
1160	-47.1731	-51.1624	3.98925	0.0468866	0.19946	0.114819	0.445259	0.525861	0.0288794
1170	-64.2216	-67.1755	2.95387	0.162405	0.160332	0.141966	0.418241	0.527532	0.0542266
1180	-46.7044	-50.9681	4.26375	0.0671874	0.137191	0.129337	0.260225	0.111379	0.628397
1190	-44.8022	-50.4241	5.62187	0.0200718	0.142296	0.0355359	0.671259	0.305791	0.0229499
1200	-48.0937	-51.7023	3.60857	0.159538	0.150571	0.0891241	0.269668	0.351784	0.378549
1210	-67.111	-71.3182	4.20722	0.0408324	0.188349	0.110187	0.172604	0.483019	0.344377
1220	-73.966	-76.5079	2.54186	0.10517	0.167949	0.232785	0.174796	0.0736173	0.751586
1230	-47.2054	-50.959	3.75364	0.0939256	0.166068	0.124732	0.378146	0.370757	0.251097
1240	-54.2687	-58.4596	4.19089	0.149643	0.128499	0.0628589	0.324552	0.537248	0.1382
1250	-47.2228	-50.6992	3.47635	0.145707	0.161995	0.104753	0.517493	0.11063	0.371877
1260	-58.8854	-62.4555	3.57015	0.0633092	0.252152	0.0876147	0.310296	0.197898	0.491806
1270	-41.7061	-46.4881	4.782	0.113487	0.106387	0.0620166	0.338408	0.447954	0.213638
1280	-47.4465	-51.9742	4.52769	0.139373	0.0737697	0.0941788	0.567369	0.292498	0.140133
1290	-54.946	-59.3075	4.36148	0.146238	0.0807001	0.0970048	0.71044	0.148766	0.140794
1300	-43.9422	-47.734	3.79181	0.128146	0.189292	0.0634713	0.129237	0.445742	0.425021
1310	-51.2258	-55.2761	4.05036	0.13759	0.109983	0.107481	0.280766	0.466749	0.252485
1320	-52.0937	-56.0249	3.93119	0.171833	0.101682	0.0934574	0.30114	0.556837	0.142023
1330	-43.2969	-46.4236	3.12665	0.251103	0.123872	0.0724503	0.31266	0.551437	0.135902
1340	-43.7709	-47.9657	4.19483	0.159136	0.144264	0.0372065	0.219084	0.584543	0.196373
1350	-61.1468	-65.7015	4.55464	0.0687376	0.162551	0.0733383	0.0933618	0.259081	0.647557
1360	-53.0833	-53.9695	0.886199	0.350523	0.26371	0.0572368	0.645057	0.265469	0.0894745
1370	-45.1251	-46.6561	1.53107	0.350673	0.156693	0.0996171	0.0929156	0.433579	0.473506
1380	-50.4284	-53.4487	3.0203	0.180051	0.17081	0.107199	0.421871	0.196292	0.381837
1390	-53.6065	-58.3466	4.74017	0.0275767	0.160917	0.0975793	0.328717	0.540883	0.1304
1400	-64.7231	-68.7583	4.03521	0.0196313	0.196393	0.140545	0.523933	0.281597	0.19447
1410	-45.8039	-50.5381	4.73425	0.0181933	0.169326	0.0991451	0.476019	0.294424	0.229557
