Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	alpha	pinvar	TL
740	-5117.04	-5113.15	-3.89709	0.17227	0.198079	0.010318	0.167852	0.312578	0.138902	0.316472	0.200733	0.190328	0.292466	0.233737	0.00602336	2.53042
750	-5098.48	-5099.08	0.608481	0.173576	0.19958	0.0103962	0.169124	0.307369	0.139955	0.31033	0.197335	0.20482	0.287515	0.248957	0.00562215	2.07986
760	-5108	-5106.77	-1.23012	0.157323	0.222167	0.0115728	0.188264	0.26961	0.151063	0.298088	0.194573	0.19446	0.312878	0.238533	0.00309608	2.26372
770	-5100.06	-5102.9	2.84515	0.15514	0.219085	0.0114122	0.185652	0.265869	0.162842	0.302755	0.19762	0.197505	0.302119	0.296455	0.00194947	1.85619
780	-5091.95	-5097.83	5.88465	0.153112	0.257511	0.011263	0.186584	0.262394	0.129136	0.309801	0.203695	0.201163	0.285341	0.291149	0.000630763	1.55224
790	-5097.54	-5101.35	3.81131	0.15061	0.208269	0.011079	0.265763	0.271858	0.0924207	0.311086	0.20454	0.197849	0.286525	0.337898	0.000340747	1.75958
800	-5103.82	-5110.09	6.27684	0.132864	0.183729	0.00977359	0.234449	0.357653	0.0815311	0.31649	0.190724	0.201285	0.291502	0.324121	0.00776779	1.51302
810	-5103.28	-5109.66	6.37096	0.120389	0.166478	0.00885593	0.212436	0.324072	0.167767	0.322241	0.189119	0.199591	0.289049	0.32544	0.0172059	1.50361
820	-5103.6	-5107.12	3.51869	0.124244	0.171809	0.0100684	0.186291	0.334449	0.173139	0.323306	0.188822	0.199278	0.288595	0.300806	0.00204665	1.78884
830	-5108.96	-5109.52	0.56172	0.136332	0.188525	0.011048	0.21596	0.25815	0.189985	0.31028	0.194383	0.198244	0.297094	0.259691	0.0013437	2.08454
840	-5106.08	-5106.47	0.396272	0.125804	0.234791	0.0101948	0.159463	0.294434	0.175314	0.317022	0.198606	0.180821	0.30355	0.223273	0.00164687	2.10108
850	-5103.17	-5101.34	-1.82554	0.153933	0.243214	0.00840397	0.15788	0.292052	0.144517	0.317044	0.210262	0.194651	0.278043	0.255411	0.007053	2.32326
860	-5104.26	-5105.19	0.928438	0.153933	0.243214	0.00840397	0.15788	0.292052	0.144517	0.310639	0.201243	0.190718	0.2974	0.272345	0.00175504	2.04786
870	-5102.06	-5106.88	4.81947	0.148054	0.233924	0.014974	0.183153	0.280898	0.138998	0.308731	0.204729	0.196192	0.290347	0.291216	0.0178031	1.65876
880	-5092.63	-5098.55	5.91911	0.161278	0.243983	0.0234729	0.191028	0.235263	0.144975	0.299871	0.213644	0.190562	0.295922	0.313483	0.000558686	1.5488
890	-5103.09	-5107	3.90977	0.155325	0.227674	0.0315536	0.183977	0.261848	0.139623	0.301046	0.214481	0.187393	0.297081	0.299411	0.00488369	1.74973
900	-5096.08	-5101.08	5.00736	0.158689	0.232604	0.0360683	0.187961	0.267519	0.117158	0.299873	0.213645	0.207217	0.279266	0.326075	0.0127164	1.63997
910	-5097.3	-5103.7	6.40303	0.139048	0.198232	0.0316041	0.164697	0.288876	0.177543	0.306512	0.211619	0.205252	0.276617	0.320261	0.0127164	1.5004
920	-5100.5	-5105.54	5.04408	0.198052	0.188003	0.0299732	0.156199	0.259392	0.168381	0.303656	0.209647	0.203339	0.283358	0.285908	0.000453421	1.6363
930	-5103.52	-5108.29	4.76849	0.177179	0.207178	0.0268143	0.139736	0.298456	0.150635	0.30655	0.210567	0.205277	0.277606	0.281992	0.0255536	1.66386
940	-5101.51	-5102.93	1.42221	0.17387	0.211674	0.0128526	0.142768	0.304932	0.153904	0.299613	0.198746	0.200632	0.301009	0.246623	0.00255225	1.99849
950	-5106.36	-5105.48	-0.878954	0.187635	0.183062	0.0313379	0.205241	0.280314	0.11241	0.303873	0.199933	0.198453	0.297741	0.255445	0.0115683	2.2286
960	-5106.49	-5110.51	4.01583	0.179687	0.263361	0.0296925	0.159439	0.261313	0.106508	0.303873	0.199933	0.198453	0.297741	0.258698	0.00154108	1.73912
970	-5111.71	-5106.84	-4.87123	0.190116	0.234455	0.0264336	0.14194	0.310044	0.0970109	0.303873	0.199933	0.198453	0.297741	0.212385	0.0035725	2.62783
980	-5114.63	-5110.15	-4.48262	0.167206	0.252514	0.0284696	0.17773	0.269598	0.104483	0.289658	0.208758	0.212386	0.289198	0.201189	0.00218756	2.58897
990	-5115.99	-5108.72	-7.26968	0.168761	0.254863	0.0194316	0.179383	0.272106	0.105455	0.306127	0.195715	0.210935	0.287223	0.184912	0.00178383	2.86768
1000	-5118.05	-5108.05	-9.99696	0.159732	0.241227	0.0183919	0.220904	0.259932	0.0998129	0.306127	0.195715	0.210935	0.287223	0.177461	0.00164273	3.1404
1010	-5109.82	-5103.32	-6.49833	0.165159	0.239181	0.0190168	0.175419	0.298021	0.103204	0.303411	0.209881	0.202034	0.284674	0.182166	0.00507399	2.79054
1020	-5107.64	-5103.83	-3.81317	0.167537	0.219703	0.0192907	0.177946	0.310833	0.10469	0.30503	0.205664	0.203112	0.286194	0.202508	0.00193597	2.52202
1030	-5112.04	-5103.16	-8.87838	0.174405	0.228708	0.0200814	0.194368	0.255286	0.127152	0.306977	0.206977	0.198025	0.288021	0.167536	0.00319344	3.02855
1040	-5113.44	-5104	-9.44305	0.159486	0.204853	0.0218662	0.211644	0.263698	0.138453	0.299276	0.209277	0.200226	0.291221	0.177247	0.0129364	3.08501
1050	-5117.32	-5110.02	-7.29679	0.175152	0.212331	0.0240142	0.146848	0.289601	0.152053	0.293453	0.205205	0.19633	0.305012	0.179876	0.000526093	2.87039
1060	-5113.09	-5110.95	-2.14609	0.154799	0.222494	0.0251636	0.153877	0.284335	0.159331	0.287429	0.206954	0.198004	0.307613	0.193916	0.00952012	2.35532
1070	-5107.36	-5105.04	-2.32138	0.172963	0.215506	0.0243733	0.138397	0.275404	0.173357	0.318532	0.190427	0.207993	0.283048	0.203558	0.00213548	2.37285
1080	-5107.66	-5107.23	-0.4267	0.163881	0.20419	0.0230934	0.15287	0.291712	0.164254	0.305326	0.193835	0.211714	0.289125	0.228951	0.00115309	2.18338
1090	-5105.03	-5107.71	2.67742	0.147291	0.28475	0.0207557	0.137395	0.262182	0.147626	0.31268	0.198503	0.192728	0.296089	0.267744	0.00876982	1.87297
1100	-5096.75	-5098.41	1.66712	0.134763	0.259305	0.0189903	0.125709	0.326162	0.13507	0.313013	0.19765	0.192933	0.296404	0.273324	0.00117387	1.974
